fighter_name,Vitorias,Derrotas,Draws,SLpM,Str_Acc,SApM,Str_Def,TD_Avg,TD_Acc,TD_Def,Sub_Avg,ufc_wins,ufc_losses,ufc_kos,ufc_submissions,td_acc_float,td_def_float,win_rate,ko_rate,sub_rate,striking_eff,grappling
Gilbert Yvel,39,16,1,1.05,47.0,1.78,50%,0.0,0%,25%,1.0,0,3,0,0,0.0,0.25,0.0,0.0,0.0,0.5585106382978723,0.0
Paul Daley,39,15,2,3.14,47.0,2.37,60%,0.91,40%,64%,0.0,2,1,2,0,0.4,0.64,0.6666664444445185,0.99999950000025,0.0,1.271255060728745,0.144
Alexander Volkov,39,11,0,4.78,57.0,2.86,53%,0.57,66%,68%,0.2,13,5,6,1,0.66,0.68,0.7222221820987677,0.4615384260355057,0.07692307100591762,1.614864864864865,0.21119999999999997
Ben Rothwell,39,14,0,3.71,42.0,4.63,47%,0.68,34%,70%,0.4,9,8,4,3,0.34,0.7,0.5294117335640156,0.44444439506173394,0.33333329629630043,0.784355179704017,0.10200000000000002
Jorge Patino,38,19,2,1.33,30.0,3.14,53%,0.54,25%,50%,0.0,0,1,0,0,0.25,0.5,0.0,0.0,0.0,0.4104938271604938,0.125
Clay Guida,38,22,0,2.63,33.0,3.0,61%,3.1,35%,66%,0.6,18,19,2,5,0.35,0.66,0.48648647333820344,0.11111110493827195,0.27777776234567986,0.8483870967741934,0.11899999999999998
Anthony Smith,38,22,0,3.19,49.0,5.04,44%,0.44,22%,50%,0.6,13,12,5,5,0.22,0.5,0.5199999792000009,0.3846153550295881,0.3846153550295881,0.6206225680933852,0.11
Jim Miller,38,19,0,2.92,42.0,3.44,56%,1.5,45%,48%,1.7,27,18,6,13,0.45,0.48,0.599999986666667,0.22222221399176983,0.48148146364883465,0.8248587570621468,0.234
Edwin DeWees,38,17,0,1.53,33.0,6.19,39%,2.18,66%,0%,3.3,0,3,0,0,0.66,0.0,0.0,0.0,0.0,0.24324324324324326,0.66
Hayato Sakurai,38,13,2,2.45,49.0,1.94,59%,1.87,69%,56%,0.3,0,1,0,0,0.69,0.56,0.0,0.0,0.0,1.200980392156863,0.3035999999999999
Nick Thompson,38,14,1,1.87,42.0,1.8,49%,1.06,100%,35%,2.6,1,1,0,0,1.0,0.35,0.499999750000125,0.0,0.0,0.9842105263157894,0.65
Gerald Meerschaert,37,21,0,3.01,45.0,3.52,53%,1.82,30%,42%,1.4,12,13,1,11,0.3,0.42,0.4799999808000007,0.08333332638888948,0.9166665902777842,0.8314917127071823,0.17400000000000002
Patricio Freire,37,8,0,2.68,43.0,4.23,57%,1.49,33%,88%,0.6,1,1,0,0,0.33,0.88,0.499999750000125,0.0,0.0,0.6189376443418014,0.0396
Renato Sobral,37,11,0,2.23,45.0,1.53,57%,2.48,42%,65%,2.6,6,4,0,4,0.42,0.65,0.599999940000006,0.0,0.6666665555555741,1.3680981595092023,0.147
Charles Oliveira,37,11,0,3.23,55.0,3.05,48%,2.29,39%,54%,2.6,25,11,4,17,0.39,0.54,0.6944444251543216,0.15999999360000025,0.679999972800001,1.0253968253968255,0.1794
Jose Maria,37,7,0,3.2,53.0,3.98,52%,2.32,27%,33%,2.3,0,2,0,0,0.27,0.33,0.0,0.0,0.0,0.7843137254901961,0.1809
Maiquel Falcao,37,10,0,1.67,55.0,0.53,86%,1.0,100%,71%,3.0,1,0,0,0,1.0,0.71,0.9999990000010001,0.0,0.0,2.6507936507936507,0.29000000000000004
Quinton Jackson,37,12,0,3.25,54.0,2.51,55%,1.52,56%,73%,0.1,8,5,3,0,0.56,0.73,0.615384568047341,0.3749999531250059,0.0,1.2452107279693487,0.15120000000000003
Tatsuya Kawajiri,36,11,2,2.04,44.0,2.01,50%,3.63,48%,63%,1.1,3,3,0,1,0.48,0.63,0.49999991666668053,0.0,0.33333322222225925,0.9668246445497631,0.17759999999999998
Sean Sherk,36,4,1,2.17,35.0,2.71,55%,4.09,46%,56%,0.4,8,4,0,1,0.46,0.56,0.6666666111111158,0.0,0.12499998437500197,0.7722419928825622,0.2024
Nursulton Ruziboev,36,9,2,2.59,46.0,2.89,48%,0.75,66%,33%,0.0,4,1,3,0,0.66,0.33,0.799999840000032,0.7499998125000469,0.0,0.866220735785953,0.4422
Josh Neer,36,16,1,3.29,46.0,3.63,58%,1.09,34%,46%,1.3,6,9,0,3,0.34,0.46,0.39999997333333515,0.0,0.49999991666668053,0.8820375335120644,0.1836
Bart Palaszewski,36,17,0,2.67,32.0,3.97,57%,0.65,31%,53%,0.5,1,3,1,0,0.31,0.53,0.24999993750001562,0.9999990000010001,0.0,0.656019656019656,0.1457
Donald Cerrone,36,17,0,4.41,46.0,4.48,53%,1.16,33%,73%,1.2,23,14,10,6,0.33,0.73,0.6216216048210378,0.4347825897920613,0.2608695538752368,0.962882096069869,0.08910000000000001
