fighter_name,Vitorias,Derrotas,Draws,SLpM,Str_Acc,SApM,Str_Def,TD_Avg,TD_Acc,TD_Def,Sub_Avg,ufc_wins,ufc_losses,ufc_kos,ufc_submissions,td_acc_float,td_def_float,win_rate,ko_rate,sub_rate,striking_eff,grappling
Luis Ramos,20,10,2,2.4,35.0,5.6,42%,1.5,20%,100%,0.0,0,2,0,0,0.2,1.0,0.0,0.0,0.0,0.4210526315789474,0.0
Alan Omer,20,5,0,3.49,55.0,2.21,64%,1.69,42%,66%,0.0,0,2,0,0,0.42,0.66,0.0,0.0,0.0,1.5108225108225108,0.14279999999999998
Patrick Smith,20,17,0,0.0,0.0,0.0,0%,0.0,0%,0%,0.0,4,1,1,3,0.0,0.0,0.799999840000032,0.24999993750001562,0.7499998125000469,0.0,0.0
Chris Haseman,20,17,0,0.93,70.0,4.67,28%,0.0,0%,40%,2.0,0,1,0,0,0.0,0.4,0.0,0.0,0.0,0.19496855345911954,0.0
Aleksei Kunchenko,20,2,0,3.67,44.0,2.83,63%,0.25,33%,80%,0.0,2,2,0,0,0.33,0.8,0.49999987500003124,0.0,0.0,1.2525597269624573,0.06599999999999999
Zach Makovsky,20,8,0,1.94,43.0,2.24,62%,3.71,30%,56%,0.3,3,4,0,0,0.3,0.56,0.4285713673469475,0.0,0.0,0.8290598290598289,0.13199999999999998
Damian Grabowski,20,5,0,4.0,36.0,7.65,51%,0.0,0%,0%,0.0,0,3,0,0,0.0,0.0,0.0,0.0,0.0,0.5161290322580645,0.0
Jorge Rivera,20,9,0,3.16,48.0,2.64,54%,0.84,50%,63%,0.1,8,7,5,0,0.5,0.63,0.5333332977777802,0.6249999218750099,0.0,1.1532846715328466,0.185
Carla Esparza,20,8,0,2.19,39.0,2.87,54%,3.28,36%,47%,0.3,10,6,1,1,0.36,0.47,0.6249999609375024,0.09999999000000101,0.09999999000000101,0.7373737373737373,0.1908
Pedro Rizzo,20,11,0,1.93,34.0,3.02,50%,0.26,28%,78%,0.0,9,5,6,0,0.28,0.78,0.6428570969387788,0.6666665925926009,0.0,0.6185897435897435,0.061599999999999995
Patchy Mix,20,3,0,5.3,43.0,7.3,43%,2.5,62%,0%,0.0,0,2,0,0,0.62,0.0,0.0,0.0,0.0,0.7162162162162162,0.62
Ismael Bonfim,20,6,0,5.51,54.0,3.71,65%,1.06,33%,76%,0.0,2,3,1,0,0.33,0.76,0.399999920000016,0.499999750000125,0.0,1.4461942257217848,0.0792
Renato Moicano,20,7,1,4.17,48.0,3.57,59%,1.67,41%,62%,0.5,12,7,1,6,0.41,0.62,0.6315789141274255,0.08333332638888948,0.4999999583333368,1.1362397820163488,0.1558
Brian Cobb,20,9,0,0.0,0.0,3.68,55%,5.81,50%,0%,0.0,0,1,0,0,0.5,0.0,0.0,0.0,0.0,0.0,0.5
David Dvorak,20,6,0,3.48,43.0,3.29,59%,0.58,30%,70%,0.2,3,3,0,1,0.3,0.7,0.49999991666668053,0.0,0.33333322222225925,1.0265486725663717,0.09000000000000001
Rafael Alves,20,12,0,1.85,48.0,3.3,58%,0.29,25%,44%,1.5,1,3,0,1,0.25,0.44,0.24999993750001562,0.0,0.9999990000010001,0.5441176470588236,0.14
Randy Brown,20,7,0,4.49,47.0,3.33,54%,0.76,39%,73%,0.6,14,7,4,3,0.39,0.73,0.6666666349206364,0.2857142653061239,0.21428569897959293,1.3090379008746356,0.1053
Martin Kampmann,20,7,0,3.22,42.0,3.28,62%,1.86,41%,78%,2.0,11,6,2,5,0.41,0.78,0.6470587854671302,0.1818181652892577,0.4545454132231443,0.9526627218934912,0.09019999999999999
Sai Wang,20,6,1,3.17,46.0,2.27,53%,0.0,0%,77%,0.0,1,1,0,0,0.0,0.77,0.499999750000125,0.0,0.0,1.3375527426160336,0.0
Leandro Silva,20,6,1,2.39,48.0,2.08,63%,1.76,37%,65%,0.4,3,4,0,1,0.37,0.65,0.4285713673469475,0.0,0.33333322222225925,1.0963302752293578,0.1295
Mark Hominick,20,12,0,4.08,42.0,4.18,69%,0.25,66%,71%,0.9,3,4,1,1,0.66,0.71,0.4285713673469475,0.33333322222225925,0.33333322222225925,0.9532710280373833,0.19140000000000004
Bill Mahood,20,7,1,1.54,85.0,3.59,17%,0.0,0%,0%,3.9,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.4173441734417344,0.0
Wulijiburen,20,9,0,1.61,42.0,3.02,56%,3.28,42%,77%,0.4,0,3,0,0,0.42,0.77,0.0,0.0,0.0,0.5160256410256411,0.09659999999999999
Dan Christison,20,7,0,4.23,51.0,3.88,54%,0.0,0%,37%,1.1,1,1,0,1,0.0,0.37,0.499999750000125,0.0,0.9999990000010001,1.062814070351759,0.0
Muin Gafurov,20,7,0,3.36,47.0,2.51,55%,1.57,28%,70%,0.0,2,3,0,0,0.28,0.7,0.399999920000016,0.0,0.0,1.2873563218390804,0.08400000000000002
Sergei Pavlovich,20,3,0,4.43,44.0,3.62,55%,0.48,25%,75%,0.0,8,3,6,0,0.25,0.75,0.7272726611570308,0.7499999062500118,0.0,1.1908602150537633,0.0625
Sam Stout,20,12,1,4.17,28.0,4.08,57%,0.63,38%,77%,0.1,9,11,1,0,0.38,0.77,0.4499999775000011,0.11111109876543349,0.0,0.9976076555023924,0.08739999999999999
Wang Guan,20,1,1,4.73,43.0,3.27,60%,0.0,0%,0%,0.0,1,0,0,0,0.0,0.0,0.9999990000010001,0.0,0.0,1.4035608308605343,0.0
Jared Papazian,20,13,0,3.33,39.0,3.81,44%,0.0,0%,50%,0.0,0,3,0,0,0.0,0.5,0.0,0.0,0.0,0.8516624040920716,0.0
Max Griffin,20,12,0,3.76,47.0,3.7,58%,1.28,40%,70%,0.3,8,10,3,0,0.4,0.7,0.4444444197530878,0.3749999531250059,0.0,0.9894736842105262,0.12000000000000002
Wesley Correira,20,16,0,2.6,36.0,8.8,40%,0.0,0%,90%,0.0,2,2,1,0,0.0,0.9,0.49999987500003124,0.499999750000125,0.0,0.29213483146067415,0.0
Ian Freeman,20,7,1,2.54,48.0,3.11,44%,1.44,40%,80%,0.7,3,2,2,0,0.4,0.8,0.599999880000024,0.6666664444445185,0.0,0.7912772585669782,0.07999999999999999
Rashid Magomedov,20,2,0,4.4,49.0,3.05,54%,0.67,57%,89%,0.2,5,1,1,0,0.57,0.89,0.8333331944444675,0.199999960000008,0.0,1.396825396825397,0.06269999999999999
Don Frye,20,9,1,2.87,64.0,3.57,37%,0.91,57%,45%,0.7,9,1,5,3,0.57,0.45,0.8999999100000091,0.5555554938271674,0.33333329629630043,0.782016348773842,0.3135
Antonio Banuelos,20,11,1,2.69,33.0,3.15,58%,1.62,62%,86%,0.4,0,1,0,0,0.62,0.86,0.0,0.0,0.0,0.8276923076923077,0.0868
Tiago dos Santos e Silva,20,7,2,3.69,35.0,4.23,59%,0.63,11%,33%,0.3,2,2,0,0,0.11,0.33,0.49999987500003124,0.0,0.0,0.8521939953810623,0.07369999999999999
Wes Combs,20,6,0,2.14,48.0,4.73,45%,0.0,0%,0%,0.0,0,2,0,0,0.0,0.0,0.0,0.0,0.0,0.443064182194617,0.0
Arnold Allen,20,4,0,3.47,42.0,3.04,60%,0.86,47%,71%,0.3,11,3,2,2,0.47,0.71,0.7857142295918408,0.1818181652892577,0.1818181652892577,1.105095541401274,0.1363
Jessica Aguilar,20,8,0,4.93,50.0,7.19,53%,0.94,25%,50%,0.2,1,4,0,0,0.25,0.5,0.199999960000008,0.0,0.0,0.6762688614540466,0.125
Shamil Abdurakhimov,20,8,0,2.41,44.0,3.02,55%,1.01,23%,45%,0.1,5,6,2,0,0.23,0.45,0.4545454132231443,0.399999920000016,0.0,0.7724358974358975,0.12650000000000003
Ryan Thomas,20,8,0,2.01,36.0,4.17,30%,5.59,33%,0%,2.2,0,2,0,0,0.33,0.0,0.0,0.0,0.0,0.4707259953161593,0.33
Gregory Rodrigues,19,6,0,5.53,51.0,4.78,50%,1.9,34%,75%,0.4,10,3,7,0,0.34,0.75,0.7692307100591762,0.699999930000007,0.0,1.1331967213114755,0.085
Zhang Mingyang,19,7,0,7.71,60.0,5.33,43%,0.0,0%,75%,0.0,3,1,3,0,0.0,0.75,0.7499998125000469,0.9999996666667778,0.0,1.419889502762431,0.0
Kyle Bradley,19,12,0,1.99,40.0,3.45,58%,0.65,50%,40%,0.0,1,3,1,0,0.5,0.4,0.24999993750001562,0.9999990000010001,0.0,0.5605633802816901,0.3
Flavio Luiz Moura,19,7,0,0.67,16.0,0.0,0%,0.0,0%,0%,0.0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,6.7,0.0
Karine Silva,19,6,0,2.48,39.0,3.04,48%,2.3,50%,21%,1.5,5,2,0,3,0.5,0.21,0.7142856122449125,0.0,0.599999880000024,0.7898089171974522,0.395
Mike Ciesnolevicz,19,4,0,0.51,50.0,4.62,57%,0.0,0%,20%,5.1,1,1,0,1,0.0,0.2,0.499999750000125,0.0,0.9999990000010001,0.10805084745762712,0.0
Michael Morales,19,0,0,5.68,49.0,3.26,53%,1.04,41%,89%,0.0,7,0,5,0,0.41,0.89,0.9999998571428775,0.7142856122449125,0.0,1.6904761904761905,0.045099999999999994
Sumudaerji,19,7,0,4.43,50.0,2.35,62%,0.67,35%,72%,0.5,6,4,1,0,0.35,0.72,0.599999940000006,0.16666663888889352,0.0,1.8081632653061221,0.098
Antonio Silva,19,12,1,2.89,45.0,3.09,50%,0.82,29%,66%,0.8,3,7,3,0,0.29,0.66,0.299999970000003,0.9999996666667778,0.0,0.9059561128526646,0.09859999999999998
Rory MacDonald,19,4,0,3.75,42.0,2.8,62%,1.77,47%,88%,0.4,9,4,3,1,0.47,0.88,0.6923076390532585,0.33333329629630043,0.11111109876543349,1.293103448275862,0.05639999999999999
Chris Price,19,4,0,1.44,66.0,2.59,48%,0.0,0%,33%,2.2,0,2,0,0,0.0,0.33,0.0,0.0,0.0,0.5353159851301115,0.0
JunYong Park,19,7,0,4.64,51.0,3.82,51%,1.69,42%,54%,0.8,9,4,0,3,0.42,0.54,0.6923076390532585,0.0,0.33333329629630043,1.183673469387755,0.19319999999999998
Thiago Moises,19,9,0,2.48,42.0,4.08,53%,1.31,35%,52%,1.1,8,7,1,3,0.35,0.52,0.5333332977777802,0.12499998437500197,0.3749999531250059,0.5933014354066986,0.16799999999999998
Askar Mozharov,19,13,0,0.43,18.0,4.07,13%,0.0,0%,33%,0.0,0,1,0,0,0.0,0.33,0.0,0.0,0.0,0.10311750599520383,0.0
Sergey Morozov,19,5,0,3.01,43.0,2.97,61%,3.63,31%,68%,0.0,3,2,0,0,0.31,0.68,0.599999880000024,0.0,0.0,0.9804560260586318,0.09919999999999998
John Moraga,19,7,0,2.57,43.0,2.55,56%,0.62,23%,44%,1.1,8,6,2,3,0.23,0.44,0.5714285306122479,0.24999996875000394,0.3749999531250059,0.969811320754717,0.12880000000000003
Erick Silva,19,9,0,2.5,48.0,4.18,49%,0.85,35%,56%,1.4,7,8,2,5,0.35,0.56,0.46666663555555765,0.285714244897965,0.7142856122449125,0.5841121495327104,0.15399999999999997
Tyron Woodley,19,7,1,2.36,48.0,2.76,54%,1.06,40%,87%,0.4,9,6,5,1,0.4,0.87,0.5999999600000027,0.5555554938271674,0.11111109876543349,0.8251748251748252,0.052000000000000005
Jean Silva,19,12,3,0.73,22.0,2.93,52%,0.0,0%,0%,0.0,6,1,3,1,0.0,0.0,0.857142734693895,0.49999991666668053,0.16666663888889352,0.2409240924092409,0.0
Randy Couture,19,11,0,2.85,57.0,1.53,59%,2.78,46%,58%,0.5,16,8,6,4,0.46,0.58,0.66666663888889,0.37499997656250145,0.24999998437500096,1.7484662576687116,0.19320000000000004
Diego Ferreira,19,7,0,4.7,39.0,3.46,55%,0.82,30%,57%,0.6,10,7,5,2,0.3,0.57,0.588235259515573,0.499999950000005,0.19999998000000202,1.3202247191011236,0.129
Julio Arce,19,6,0,4.36,36.0,3.05,68%,0.46,28%,96%,0.3,6,4,3,1,0.28,0.96,0.599999940000006,0.49999991666668053,0.16666663888889352,1.3841269841269843,0.01120000000000001
Rashad Evans,19,8,1,2.14,37.0,2.42,63%,2.98,44%,73%,0.0,14,8,6,0,0.44,0.73,0.6363636074380178,0.42857139795918586,0.0,0.8492063492063493,0.1188
Takenori Sato,19,11,7,0.46,33.0,12.92,9%,0.0,0%,0%,0.0,0,2,0,0,0.0,0.0,0.0,0.0,0.0,0.035330261136712754,0.0
Dan Ige,19,11,0,3.6,45.0,3.56,56%,0.93,26%,56%,0.2,11,10,5,1,0.26,0.56,0.5238094988662143,0.4545454132231443,0.09090908264462885,0.9836065573770492,0.11439999999999999
Jumabieke Tuerxun,19,4,1,1.6,28.0,3.08,59%,0.47,11%,66%,0.9,0,3,0,0,0.11,0.66,0.0,0.0,0.0,0.5031446540880503,0.037399999999999996
Yan Xiaonan,19,5,0,4.69,45.0,3.23,60%,0.84,73%,64%,0.0,9,4,1,0,0.73,0.64,0.6923076390532585,0.11111109876543349,0.0,1.4084084084084085,0.2628
Alex Stiebling,19,11,1,1.77,42.0,1.45,52%,0.35,66%,66%,0.7,0,1,0,0,0.66,0.66,0.0,0.0,0.0,1.1419354838709677,0.2244
Rick Story,19,9,0,3.8,41.0,2.17,62%,2.53,48%,63%,0.9,12,7,2,2,0.48,0.63,0.6315789141274255,0.16666665277777895,0.16666665277777895,1.6740088105726871,0.17759999999999998
Rin Nakai,19,2,1,1.57,33.0,3.9,60%,3.0,18%,75%,0.5,0,2,0,0,0.18,0.75,0.0,0.0,0.0,0.3925,0.045
Gunnar Nelson,19,6,1,1.77,61.0,3.06,48%,2.0,52%,68%,1.0,10,6,0,8,0.52,0.68,0.6249999609375024,0.0,0.7999999200000081,0.560126582278481,0.1664
Ramiro Hernandez,19,9,0,2.72,28.0,5.51,64%,0.0,0%,0%,0.0,0,2,0,0,0.0,0.0,0.0,0.0,0.0,0.4848484848484849,0.0
Josh Hendricks,19,11,0,0.98,20.0,11.8,29%,0.0,0%,0%,0.0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.08235294117647059,0.0
Ben Askren,19,2,0,3.64,49.0,5.66,36%,4.33,55%,0%,0.9,1,2,0,1,0.55,0.0,0.33333322222225925,0.0,0.9999990000010001,0.6319444444444445,0.55
Thiago Silva,19,6,0,3.92,50.0,2.55,67%,1.03,47%,70%,0.7,7,3,6,0,0.47,0.7,0.699999930000007,0.857142734693895,0.0,1.479245283018868,0.14100000000000001
Richard Crunkilton,19,4,0,1.72,41.0,1.45,58%,4.08,61%,65%,1.3,0,1,0,0,0.61,0.65,0.0,0.0,0.0,1.1096774193548387,0.2135
Rousimar Palhares,19,8,0,1.75,51.0,2.04,59%,3.93,45%,0%,4.1,8,4,0,6,0.45,0.0,0.6666666111111158,0.0,0.7499999062500118,0.8177570093457943,0.45
Michael Chiesa,19,7,0,2.03,40.0,1.73,57%,3.05,47%,67%,1.0,14,7,0,8,0.47,0.67,0.6666666349206364,0.0,0.5714285306122479,1.1092896174863387,0.15509999999999996
Damacio Page,19,10,0,2.05,38.0,2.47,51%,2.63,64%,23%,0.9,0,3,0,0,0.64,0.23,0.0,0.0,0.0,0.7976653696498053,0.4928
Francimar Barroso,19,7,0,2.77,52.0,3.07,59%,2.22,24%,83%,0.0,4,4,0,0,0.24,0.83,0.4999999375000079,0.0,0.0,0.8738170347003155,0.04080000000000001
Danny Mitchell,19,9,1,2.53,49.0,2.53,52%,0.0,0%,100%,3.0,0,2,0,0,0.0,1.0,0.0,0.0,0.0,0.9619771863117871,0.0
Tom Gallicchio,19,10,0,3.53,26.0,7.07,43%,1.0,11%,0%,0.0,0,1,0,0,0.11,0.0,0.0,0.0,0.0,0.4923291492329149,0.11
Jason Witt,19,9,0,2.15,44.0,2.54,52%,6.9,48%,100%,0.9,2,4,0,1,0.48,1.0,0.33333327777778704,0.0,0.499999750000125,0.8143939393939393,0.0
Dustin Ortiz,19,8,0,2.94,44.0,2.17,56%,3.01,36%,52%,0.1,8,6,4,0,0.36,0.52,0.5714285306122479,0.4999999375000079,0.0,1.2951541850220265,0.17279999999999998
Steve Garcia,19,5,0,5.39,49.0,2.12,59%,0.86,40%,88%,0.4,8,2,7,0,0.4,0.88,0.7999999200000081,0.8749998906250137,0.0,2.4279279279279278,0.048
Tonya Evinger,19,8,0,1.16,42.0,4.02,38%,0.93,30%,33%,0.9,0,3,0,0,0.3,0.33,0.0,0.0,0.0,0.28155339805825247,0.20099999999999998
Ion Cutelaba,19,11,1,4.26,43.0,3.34,47%,3.77,49%,75%,0.1,8,10,4,1,0.49,0.75,0.4444444197530878,0.4999999375000079,0.12499998437500197,1.2383720930232558,0.1225
Movsar Evloev,19,0,0,3.99,48.0,2.66,60%,4.67,48%,61%,0.2,9,0,0,0,0.48,0.61,0.9999998888889013,0.0,0.0,1.4456521739130435,0.1872
Karol Rosa,19,7,0,5.88,56.0,4.59,49%,1.17,48%,70%,0.2,8,4,0,0,0.48,0.7,0.6666666111111158,0.0,0.0,1.2537313432835822,0.14400000000000002
Dileno Lopes,19,3,0,2.37,36.0,3.33,53%,2.5,31%,100%,1.5,0,2,0,0,0.31,1.0,0.0,0.0,0.0,0.6909620991253644,0.0
Taila Santos,19,3,0,3.39,48.0,2.64,58%,2.0,76%,86%,1.1,4,3,0,1,0.76,0.86,0.57142848979593,0.0,0.24999993750001562,1.2372262773722627,0.10640000000000001
Josh Emmett,19,6,0,3.72,35.0,4.43,60%,1.08,37%,43%,0.1,10,6,4,0,0.37,0.43,0.6249999609375024,0.39999996000000404,0.0,0.8211920529801326,0.21090000000000003
Jonathan Martinez,19,6,0,4.44,49.0,4.09,56%,0.38,35%,68%,0.1,10,5,4,0,0.35,0.68,0.6666666222222252,0.39999996000000404,0.0,1.0596658711217186,0.11199999999999997
Lucas Martins,19,3,0,2.87,35.0,4.14,60%,0.0,0%,76%,0.5,4,3,2,1,0.0,0.76,0.57142848979593,0.49999987500003124,0.24999993750001562,0.6768867924528303,0.0
Modestas Bukauskas,19,7,0,3.24,42.0,4.05,50%,0.26,66%,79%,0.1,7,5,3,1,0.66,0.79,0.5833332847222263,0.4285713673469475,0.1428571224489825,0.7807228915662652,0.13859999999999997
Shavkat Rakhmonov,19,0,0,3.25,60.0,2.17,51%,1.4,25%,85%,1.2,7,0,1,5,0.25,0.85,0.9999998571428775,0.1428571224489825,0.7142856122449125,1.4317180616740088,0.037500000000000006
Forrest Griffin,19,7,0,4.38,36.0,2.81,61%,1.05,48%,57%,0.7,10,5,1,2,0.48,0.57,0.6666666222222252,0.09999999000000101,0.19999998000000202,1.5051546391752577,0.20640000000000003
Diego Nunes,19,7,0,2.72,43.0,2.59,58%,1.18,44%,65%,0.6,3,3,0,0,0.44,0.65,0.49999991666668053,0.0,0.0,1.0111524163568775,0.154
Jason Day,19,12,0,3.61,54.0,3.46,47%,1.13,100%,0%,0.0,1,2,1,0,1.0,0.0,0.33333322222225925,0.9999990000010001,0.0,1.0140449438202246,1.0
Sean O'Malley,19,3,0,6.05,60.0,3.4,60%,0.24,42%,60%,0.2,11,3,6,0,0.42,0.6,0.7857142295918408,0.5454544958677732,0.0,1.7285714285714284,0.168
Anistavio Medeiros,19,10,0,3.64,44.0,5.0,47%,0.0,0%,0%,0.0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.7137254901960786,0.0
Steven Peterson,19,11,0,4.76,40.0,5.94,53%,1.42,26%,64%,0.7,3,5,1,0,0.26,0.64,0.3749999531250059,0.33333322222225925,0.0,0.7880794701986754,0.0936
Charlie Brenneman,19,8,0,1.52,56.0,1.55,46%,4.23,42%,72%,0.0,4,7,0,0,0.42,0.72,0.3636363305785154,0.0,0.0,0.9212121212121211,0.11760000000000001
Shawn Jordan,19,8,0,2.87,50.0,3.3,47%,1.97,38%,76%,0.1,6,4,6,0,0.38,0.76,0.599999940000006,0.9999998333333611,0.0,0.8441176470588235,0.0912
Ryan Jimmo,19,5,0,3.12,66.0,2.77,46%,0.45,28%,87%,0.0,3,4,2,0,0.28,0.87,0.4285713673469475,0.6666664444445185,0.0,1.0871080139372822,0.0364
Mike Santiago,19,12,0,3.44,49.0,3.58,36%,2.66,50%,53%,1.1,0,3,0,0,0.5,0.53,0.0,0.0,0.0,0.9347826086956521,0.235
Gabriel Bonfim,19,1,0,4.61,46.0,3.68,63%,3.6,55%,76%,1.4,6,1,1,3,0.55,0.76,0.857142734693895,0.16666663888889352,0.49999991666668053,1.2195767195767195,0.132
Ramazan Temirov,19,3,0,4.37,40.0,3.93,59%,0.84,50%,100%,0.0,2,0,1,0,0.5,1.0,0.99999950000025,0.499999750000125,0.0,1.0843672456575681,0.0
Cyrille Diabate,19,10,1,4.06,71.0,1.78,60%,1.17,83%,53%,0.2,4,4,1,1,0.83,0.53,0.4999999375000079,0.24999993750001562,0.24999993750001562,2.159574468085106,0.39009999999999995
Cristian Quinonez,19,5,0,3.67,43.0,3.71,56%,3.14,55%,85%,0.6,2,2,1,0,0.55,0.85,0.49999987500003124,0.499999750000125,0.0,0.9632545931758529,0.08250000000000002
Daniel Omielanczuk,19,8,1,3.09,57.0,3.29,47%,0.56,26%,68%,0.1,4,5,2,0,0.26,0.68,0.44444439506173394,0.49999987500003124,0.0,0.911504424778761,0.0832
Carlston Harris,19,7,0,3.79,43.0,3.46,54%,1.46,22%,55%,0.6,4,3,1,2,0.22,0.55,0.57142848979593,0.24999993750001562,0.49999987500003124,1.0646067415730338,0.09899999999999999
Kayla Harrison,19,1,0,4.29,62.0,1.1,66%,2.84,37%,100%,0.9,3,0,0,2,0.37,1.0,0.9999996666667778,0.0,0.6666664444445185,3.5749999999999993,0.0
Blagoy Ivanov,19,6,0,3.25,40.0,4.2,53%,0.69,40%,61%,0.1,3,5,0,0,0.4,0.61,0.3749999531250059,0.0,0.0,0.7558139534883721,0.15600000000000003
Curtis Blaydes,19,5,0,3.56,50.0,2.0,58%,5.38,48%,31%,0.0,14,5,7,0,0.48,0.31,0.7368420664819965,0.49999996428571686,0.0,1.6952380952380952,0.33119999999999994
Alessio Sakara,19,11,0,3.96,47.0,2.8,59%,2.18,78%,62%,0.0,6,8,4,0,0.78,0.62,0.42857139795918586,0.6666665555555741,0.0,1.3655172413793104,0.2964
Lucio Linhares,19,8,0,0.99,22.0,3.47,34%,1.86,50%,50%,1.9,0,2,0,0,0.5,0.5,0.0,0.0,0.0,0.27731092436974786,0.25
Jacob Volkmann,19,7,0,1.19,34.0,1.78,52%,3.19,48%,52%,2.0,6,4,0,1,0.48,0.52,0.599999940000006,0.0,0.16666663888889352,0.6329787234042552,0.2304
Tito Ortiz,19,12,1,2.59,46.0,2.88,60%,2.47,35%,54%,0.6,15,11,7,2,0.35,0.54,0.5769230547337286,0.46666663555555765,0.13333332444444504,0.8691275167785234,0.16099999999999998
Justin Eilers,19,7,1,2.86,43.0,5.66,49%,0.82,25%,50%,0.0,1,3,1,0,0.25,0.5,0.24999993750001562,0.9999990000010001,0.0,0.4965277777777778,0.125
Matheus Nicolau,19,6,1,3.31,51.0,2.98,65%,1.22,43%,90%,0.8,7,4,1,1,0.43,0.9,0.636363578512402,0.1428571224489825,0.1428571224489825,1.0746753246753247,0.04299999999999999
Viscardi Andrade,19,6,0,3.26,42.0,2.77,63%,1.93,50%,66%,0.3,3,1,1,0,0.5,0.66,0.7499998125000469,0.33333322222225925,0.0,1.1358885017421603,0.16999999999999998
Kyung Ho Kang,19,11,0,3.13,47.0,3.32,54%,1.97,50%,68%,0.8,8,5,0,4,0.5,0.68,0.615384568047341,0.0,0.4999999375000079,0.9152046783625731,0.15999999999999998
Li Jingliang,19,9,0,4.46,42.0,3.95,56%,1.19,41%,60%,0.0,11,7,8,0,0.41,0.6,0.6111110771604957,0.7272726611570308,0.0,1.1012345679012345,0.164
Bobby Voelker,19,13,0,4.01,35.0,5.84,42%,1.04,50%,66%,0.0,0,4,0,0,0.5,0.66,0.0,0.0,0.0,0.6750841750841751,0.16999999999999998
Liang Na,19,8,0,1.99,42.0,3.95,36%,3.6,58%,25%,0.5,0,4,0,0,0.58,0.25,0.0,0.0,0.0,0.49135802469135803,0.43499999999999994
Marvin Vettori,19,10,1,4.74,45.0,4.55,56%,1.41,43%,68%,0.4,9,8,0,2,0.43,0.68,0.5294117335640156,0.0,0.22222219753086697,1.0193548387096776,0.13759999999999997
Chas Skelly,19,3,0,2.01,40.0,3.21,49%,1.74,34%,39%,2.3,8,3,2,4,0.34,0.39,0.7272726611570308,0.24999996875000394,0.4999999375000079,0.607250755287009,0.2074
Quinn Mulhern,18,4,0,1.48,28.0,2.09,51%,1.36,20%,33%,0.0,0,2,0,0,0.2,0.33,0.0,0.0,0.0,0.6757990867579908,0.13399999999999998
Leigh Remedios,18,10,2,0.75,41.0,1.36,68%,0.0,0%,33%,0.0,0,1,0,0,0.0,0.33,0.0,0.0,0.0,0.5136986301369862,0.0
Jamie Mullarkey,18,9,0,4.1,46.0,4.28,54%,2.46,30%,70%,0.1,6,7,2,0,0.3,0.7,0.4615384260355057,0.33333327777778704,0.0,0.9360730593607305,0.09000000000000001
Logan Clark,18,6,0,2.2,54.0,1.49,53%,0.31,100%,30%,2.1,1,0,0,0,1.0,0.3,0.9999990000010001,0.0,0.0,1.3836477987421385,0.7
Said Nurmagomedov,18,5,0,3.08,48.0,2.05,55%,0.86,15%,63%,1.1,7,4,2,3,0.15,0.63,0.636363578512402,0.285714244897965,0.4285713673469475,1.4325581395348839,0.0555
Michelle Waterson-Gomez,18,13,0,3.42,46.0,4.25,48%,1.39,33%,69%,0.6,6,9,0,2,0.33,0.69,0.39999997333333515,0.0,0.33333327777778704,0.7862068965517242,0.10230000000000002
Darren Till,18,5,1,2.3,46.0,3.31,56%,0.55,46%,69%,0.0,6,5,2,0,0.46,0.69,0.5454544958677732,0.33333327777778704,0.0,0.6744868035190615,0.14260000000000003
Trey Ogden,18,7,0,3.2,50.0,3.49,55%,1.89,32%,100%,0.7,3,3,0,0,0.32,1.0,0.49999991666668053,0.0,0.0,0.8913649025069638,0.0
TJ Dillashaw,18,5,0,5.09,41.0,3.47,62%,1.56,30%,77%,0.8,13,5,7,1,0.3,0.77,0.7222221820987677,0.5384614970414233,0.07692307100591762,1.4257703081232491,0.06899999999999999
Johny Hendricks,18,8,0,3.49,45.0,3.99,53%,3.83,46%,63%,0.3,13,8,5,0,0.46,0.63,0.6190475895691624,0.3846153550295881,0.0,0.8533007334963326,0.17020000000000002
Alexander Hernandez,18,8,0,4.31,40.0,4.5,59%,1.14,36%,73%,0.1,10,7,5,0,0.36,0.73,0.588235259515573,0.499999950000005,0.0,0.9369565217391305,0.09720000000000001
Leonard Garcia,18,13,1,2.77,24.0,4.79,52%,0.3,26%,42%,0.5,2,7,0,1,0.26,0.42,0.22222219753086697,0.0,0.499999750000125,0.5664621676891616,0.15080000000000002
Chris Wilson,18,10,0,2.32,50.0,1.36,55%,1.31,50%,60%,1.6,1,3,0,0,0.5,0.6,0.24999993750001562,0.0,0.0,1.5890410958904106,0.2
Yui Chul Nam,18,8,1,3.53,51.0,2.0,48%,1.33,16%,57%,0.3,1,2,0,0,0.16,0.57,0.33333322222225925,0.0,0.0,1.6809523809523808,0.06880000000000001
Sarah Kaufman,18,4,0,6.65,46.0,4.0,62%,0.38,57%,81%,0.0,1,2,0,0,0.57,0.81,0.33333322222225925,0.0,0.0,1.6219512195121955,0.10829999999999997
Albert Tumenov,18,4,0,3.76,42.0,3.34,58%,0.2,20%,75%,0.0,5,3,3,0,0.2,0.75,0.6249999218750099,0.599999880000024,0.0,1.0930232558139534,0.05
Robert Peralta,18,8,0,3.76,44.0,2.97,53%,0.59,66%,65%,0.0,4,3,2,0,0.66,0.65,0.57142848979593,0.49999987500003124,0.0,1.2247557003257328,0.23099999999999998
