Nome,Height,Altura_cm,Weight,Reach,Stance
Jong Wang Kim,"6' 1""",185.4,240 lbs.,71.55387673956263,
JunYoung Hong,"5' 9""",175.3,145 lbs.,69.0,Orthodox
Albert Tadevosyan,,,170 lbs.,71.55387673956263,
Khalid Taha,"5' 5""",165.1,135 lbs.,69.0,Orthodox
Alberto Mina,"6' 0""",182.9,170 lbs.,77.0,Orthodox
Mike Malott,"6' 1""",185.4,170 lbs.,73.0,Orthodox
Shannon Ross,"5' 6""",167.6,125 lbs.,66.0,Switch
Ryan Quinn,"5' 8""",172.7,145 lbs.,71.55387673956263,
Jeremiah Wells,"5' 9""",175.3,170 lbs.,74.0,Switch
Walt Harris,"6' 5""",195.6,250 lbs.,77.0,Southpaw
Alex White,"6' 0""",182.9,155 lbs.,71.0,Southpaw
Nicholas Musoke,"6' 0""",182.9,170 lbs.,75.0,Orthodox
Denis Stojnic,"6' 0""",182.9,245 lbs.,71.55387673956263,Orthodox
Edgar Chairez,"5' 7""",170.2,125 lbs.,71.0,Orthodox
Sean Woodson,"6' 2""",188.0,145 lbs.,78.0,Orthodox
Cal Worsham,"5' 11""",180.3,230 lbs.,71.55387673956263,Orthodox
Justin Wren,"6' 2""",188.0,265 lbs.,71.55387673956263,Orthodox
Wu Yanan,"5' 8""",172.7,135 lbs.,66.0,Orthodox
HanSeul Kim,"6' 1""",185.4,170 lbs.,73.0,Southpaw
Sangwook Kim,"6' 0""",182.9,155 lbs.,71.0,Orthodox
Anthony Avila,"5' 7""",170.2,145 lbs.,71.55387673956263,
Ottman Azaitar,"5' 8""",172.7,155 lbs.,71.0,Switch
Daniel Kelly,"6' 0""",182.9,185 lbs.,70.0,Southpaw
Joe Solecki,"5' 9""",175.3,155 lbs.,70.0,Orthodox
Luke Sanders,"5' 6""",167.6,135 lbs.,67.0,Southpaw
Austen Lane,"6' 6""",198.1,205 lbs.,80.0,Orthodox
Chad Laprise,"5' 10""",177.8,170 lbs.,71.0,Orthodox
Rami Hamed,"6' 1""",185.4,170 lbs.,71.0,Orthodox
Gianni Vazquez,"5' 7""",170.2,135 lbs.,71.0,Orthodox
Johnny Rees,"6' 0""",182.9,170 lbs.,71.55387673956263,Orthodox
Muhammad Naimov,"5' 9""",175.3,145 lbs.,70.0,Orthodox
Darko Stosic,"6' 0""",182.9,205 lbs.,76.0,Orthodox
Frankie Saenz,"5' 6""",167.6,135 lbs.,66.0,Orthodox
Maria Oliveira,"5' 6""",167.6,115 lbs.,69.0,Orthodox
Jeremiah Metcalf,"6' 1""",185.4,185 lbs.,71.55387673956263,Orthodox
Albert Rios,"5' 8""",172.7,145 lbs.,71.55387673956263,
Gavin Tucker,"5' 6""",167.6,145 lbs.,66.0,Southpaw
Billy Evangelista,"5' 8""",172.7,155 lbs.,68.0,Orthodox
Shane Howell,"5' 8""",172.7,125 lbs.,71.55387673956263,Orthodox
Yuele Huang,,,145 lbs.,71.55387673956263,
Darrell Horcher,"5' 10""",177.8,155 lbs.,70.0,Southpaw
Mark Hunt,"5' 10""",177.8,265 lbs.,72.0,Orthodox
Hiroko Yamanaka,"5' 11""",180.3,135 lbs.,71.55387673956263,
Adam Bramhald,"5' 10""",177.8,135 lbs.,70.0,Orthodox
Polyana Viana,"5' 5""",165.1,115 lbs.,67.0,Orthodox
Dean Lister,"6' 1""",185.4,185 lbs.,75.0,Orthodox
Artem Lobov,"5' 9""",175.3,145 lbs.,65.0,Southpaw
Marcelo Brito,"6' 1""",185.4,170 lbs.,71.55387673956263,Orthodox
Richard Odoms,"6' 5""",195.6,265 lbs.,71.55387673956263,Orthodox
Kyle Watson,"6' 0""",182.9,155 lbs.,71.55387673956263,Southpaw
Julianna Pena,"5' 6""",167.6,135 lbs.,69.0,Orthodox
Grigory Popov,"5' 7""",170.2,135 lbs.,68.0,Switch
Karen Darabedyan,"5' 7""",170.2,155 lbs.,68.0,Orthodox
Brian Davidson,"5' 6""",167.6,145 lbs.,71.55387673956263,
Jacob Rosales,"5' 11""",180.3,155 lbs.,74.0,Orthodox
Ricky Turcios,"5' 9""",175.3,145 lbs.,71.0,Orthodox
Brad Imes,"6' 7""",200.7,265 lbs.,71.55387673956263,Orthodox
Viviane Araujo,"5' 4""",162.6,125 lbs.,68.0,Orthodox
Angga,"5' 7""",170.2,145 lbs.,68.0,Orthodox
Francisco Trevino,"5' 9""",175.3,155 lbs.,70.0,Orthodox
Andreas Michailidis,"6' 0""",182.9,170 lbs.,76.0,Orthodox
Cristiano Marcello,"5' 9""",175.3,155 lbs.,72.0,Orthodox
Doug Evans,"5' 9""",175.3,155 lbs.,71.55387673956263,Orthodox
Manuel Exposito,"5' 7""",170.2,145 lbs.,68.0,Orthodox
Rodrigo Damm,"5' 7""",170.2,155 lbs.,71.0,Orthodox
Henrique Shiguemoto,"5' 11""",180.3,185 lbs.,72.0,Orthodox
Andrew Sanchez,"6' 1""",185.4,185 lbs.,74.0,Orthodox
Adilet Nurmatov,,,155 lbs.,71.55387673956263,
Hyun Gyu Lim,"6' 3""",190.5,170 lbs.,77.0,Orthodox
Lukasz Sajewski,"5' 8""",172.7,155 lbs.,71.0,Orthodox
James Vick,"6' 3""",190.5,155 lbs.,76.0,Orthodox
Milton Vieira,"6' 0""",182.9,145 lbs.,71.55387673956263,Orthodox
Liz Carmouche,"5' 6""",167.6,125 lbs.,66.0,Orthodox
Jeremiah O'Neal,"5' 8""",172.7,260 lbs.,71.55387673956263,
Jonatas Novaes,"5' 11""",180.3,170 lbs.,71.55387673956263,
Chris Guillen,"6' 0""",182.9,240 lbs.,71.55387673956263,Orthodox
Ebenezer Fontes Braga,"6' 0""",182.9,199 lbs.,71.55387673956263,Orthodox
Ramiz Brahimaj,"5' 10""",177.8,170 lbs.,72.0,Orthodox
Godofredo Pepey,"5' 7""",170.2,145 lbs.,73.0,Orthodox
Ray Perales,"5' 10""",177.8,170 lbs.,71.55387673956263,Orthodox
Danny Davis,"6' 2""",188.0,170 lbs.,71.55387673956263,
Hakeem Dawodu,"5' 8""",172.7,145 lbs.,73.0,Orthodox
Justin Davis,"5' 11""",180.3,205 lbs.,71.55387673956263,
Montana De La Rosa,"5' 7""",170.2,125 lbs.,68.0,Orthodox
Pietro Menga,"5' 7""",170.2,125 lbs.,68.0,Southpaw
Uros Medic,"6' 1""",185.4,170 lbs.,71.0,Southpaw
Steve Erceg,"5' 8""",172.7,125 lbs.,68.0,Orthodox
Punahele Soriano,"5' 11""",180.3,170 lbs.,72.0,Southpaw
Zviad Lazishvili,"5' 6""",167.6,135 lbs.,69.0,Orthodox
Curt Warburton,"6' 0""",182.9,155 lbs.,73.0,Orthodox
Nicolae Negumereanu,"6' 0""",182.9,205 lbs.,78.0,Orthodox
James Giboo,"5' 11""",180.3,170 lbs.,71.55387673956263,Orthodox
Clifford Starks,"6' 0""",182.9,185 lbs.,78.0,Orthodox
Mark Godbeer,"6' 4""",193.0,240 lbs.,77.0,Orthodox
Clint Godfrey,"5' 6""",167.6,135 lbs.,71.55387673956263,Southpaw
Dongi Yang,"5' 10""",177.8,185 lbs.,73.0,Southpaw
Chad Anheliger,"5' 6""",167.6,135 lbs.,64.0,Orthodox
Egan Inoue,"5' 9""",175.3,190 lbs.,71.55387673956263,Southpaw
Chad Robichaux,"5' 4""",162.6,135 lbs.,71.55387673956263,
Mike Massenzio,"6' 2""",188.0,185 lbs.,73.0,Southpaw
