Nome,Height,Altura_cm,Weight,Reach,Stance
Travis Fulton,"6' 0""",182.9,240 lbs.,71.55387673956263,Orthodox
Dan Severn,"6' 2""",188.0,250 lbs.,71.55387673956263,Southpaw
Jeremy Horn,"6' 1""",185.4,185 lbs.,74.0,Orthodox
Travis Wiuff,"6' 3""",190.5,205 lbs.,71.55387673956263,Orthodox
Luis Santos,"6' 1""",185.4,170 lbs.,71.55387673956263,Southpaw
Aleksei Oleinik,"6' 2""",188.0,240 lbs.,80.0,Orthodox
Ikuhisa Minowa,"5' 9""",175.3,181 lbs.,71.55387673956263,Orthodox
Jeff Monson,"5' 9""",175.3,247 lbs.,74.0,Orthodox
Yuki Kondo,"5' 11""",180.3,183 lbs.,71.55387673956263,Southpaw
Adrian Serrano,"5' 8""",172.7,170 lbs.,71.55387673956263,
Alexander Shlemenko,"5' 11""",180.3,185 lbs.,71.55387673956263,
Shannon Ritch,"5' 9""",175.3,190 lbs.,71.55387673956263,Orthodox
Igor Vovchanchyn,"5' 8""",172.7,205 lbs.,71.55387673956263,Orthodox
Ricco Rodriguez,"6' 4""",193.0,265 lbs.,71.55387673956263,Orthodox
Dennis Hallman,"5' 9""",175.3,155 lbs.,72.0,Orthodox
Brian Ebersole,"6' 0""",182.9,170 lbs.,73.0,Southpaw
Shonie Carter,"5' 10""",177.8,170 lbs.,71.55387673956263,Southpaw
Joe Doerksen,"6' 0""",182.9,185 lbs.,75.0,Orthodox
Joe Jordan,"5' 6""",167.6,155 lbs.,71.55387673956263,Orthodox
Alistair Overeem,"6' 4""",193.0,265 lbs.,80.0,Orthodox
Joe Pearson,"5' 10""",177.8,145 lbs.,71.55387673956263,Orthodox
Dave Menne,"5' 10""",177.8,170 lbs.,71.55387673956263,Orthodox
Matt Hughes,"5' 9""",175.3,170 lbs.,73.0,Switch
Keiichiro Yamamiya,"5' 11""",180.3,185 lbs.,71.55387673956263,Southpaw
Rich Clementi,"5' 9""",175.3,155 lbs.,72.0,Southpaw
Dennis Reed,,,205 lbs.,71.55387673956263,Orthodox
Miguel Torres,"5' 9""",175.3,135 lbs.,76.0,Orthodox
Joe Riggs,"6' 0""",182.9,185 lbs.,70.0,Southpaw
Tyrone Roberts,"5' 9""",175.3,185 lbs.,71.55387673956263,Orthodox
Gegard Mousasi,"6' 2""",188.0,185 lbs.,76.0,Orthodox
Yves Edwards,"5' 9""",175.3,155 lbs.,73.0,Southpaw
Drew Fickett,"5' 10""",177.8,155 lbs.,70.0,Orthodox
Alonzo Martinez,"5' 10""",177.8,155 lbs.,71.55387673956263,
Brock Larson,"5' 11""",180.3,170 lbs.,71.0,Southpaw
Satoru Kitaoka,"5' 6""",167.6,154 lbs.,71.55387673956263,
Shayilan Nuerdanbieke,"5' 8""",172.7,145 lbs.,69.0,Orthodox
Shinya Aoki,"5' 11""",180.3,154 lbs.,71.55387673956263,Southpaw
Daniel Weichel,"5' 10""",177.8,145 lbs.,70.0,
Gilbert Yvel,"6' 2""",188.0,225 lbs.,77.0,Orthodox
Paul Daley,"5' 9""",175.3,170 lbs.,76.0,Orthodox
Alexander Volkov,"6' 7""",200.7,261 lbs.,80.0,Orthodox
Ben Rothwell,"6' 4""",193.0,265 lbs.,78.0,Orthodox
Geronimo dos Santos,"6' 3""",190.5,264 lbs.,71.55387673956263,Orthodox
Masakatsu Funaki,"6' 0""",182.9,185 lbs.,71.55387673956263,Southpaw
Jorge Patino,"5' 8""",172.7,170 lbs.,71.55387673956263,Orthodox
Clay Guida,"5' 7""",170.2,155 lbs.,70.0,Orthodox
Anthony Smith,"6' 4""",193.0,205 lbs.,76.0,Orthodox
Jim Miller,"5' 8""",172.7,155 lbs.,71.0,Southpaw
Andre Santos,"6' 0""",182.9,170 lbs.,71.55387673956263,
Joilton Lutterbach,"6' 1""",185.4,185 lbs.,75.0,Orthodox
Edwin DeWees,"6' 1""",185.4,185 lbs.,71.55387673956263,Orthodox
Hayato Sakurai,"5' 7""",170.2,168 lbs.,71.55387673956263,Orthodox
Nick Thompson,"6' 1""",185.4,170 lbs.,74.0,Orthodox
Jaime Jara,"6' 1""",185.4,205 lbs.,71.55387673956263,Southpaw
Gerald Meerschaert,"6' 1""",185.4,185 lbs.,77.0,Southpaw
Patricio Freire,"5' 6""",167.6,145 lbs.,67.0,Orthodox
Renato Sobral,"6' 1""",185.4,205 lbs.,75.0,Orthodox
Charles Oliveira,"5' 10""",177.8,155 lbs.,74.0,Orthodox
Jose Maria,"5' 5""",165.1,125 lbs.,71.55387673956263,Orthodox
Maiquel Falcao,"5' 11""",180.3,185 lbs.,71.55387673956263,Orthodox
Quinton Jackson,"6' 1""",185.4,205 lbs.,73.0,Orthodox
Tatsuya Kawajiri,"5' 7""",170.2,145 lbs.,69.0,Orthodox
Sean Sherk,"5' 6""",167.6,155 lbs.,67.0,Orthodox
Sean Wilson,"5' 8""",172.7,145 lbs.,71.55387673956263,
Nursulton Ruziboev,"6' 5""",195.6,185 lbs.,76.0,Orthodox
Josh Neer,"5' 11""",180.3,170 lbs.,72.0,Orthodox
Bart Palaszewski,"5' 9""",175.3,145 lbs.,70.0,Orthodox
Donald Cerrone,"6' 1""",185.4,155 lbs.,73.0,Orthodox
Jinensibieke Asikeerbai,"5' 6""",167.6,155 lbs.,69.0,Orthodox
Jeff Curran,"5' 6""",167.6,135 lbs.,69.0,Orthodox
Fedor Emelianenko,"6' 0""",182.9,230 lbs.,74.0,Orthodox
Masakazu Imanari,"5' 4""",162.6,139 lbs.,71.55387673956263,Southpaw
Kyoji Horiguchi,"5' 4""",162.6,125 lbs.,63.0,Orthodox
Bobby Hoffman,"6' 2""",188.0,245 lbs.,71.55387673956263,Orthodox
Harris Sarmiento,"5' 9""",175.3,155 lbs.,71.55387673956263,Orthodox
Dion Staring,"6' 1""",185.4,235 lbs.,71.55387673956263,Orthodox
Jorge Masvidal,"5' 11""",180.3,170 lbs.,74.0,Orthodox
Akihiro Gono,"5' 7""",170.2,170 lbs.,68.0,Switch
Denis Kang,"5' 11""",180.3,185 lbs.,77.0,Orthodox
Urijah Faber,"5' 6""",167.6,135 lbs.,67.0,Orthodox
Takanori Gomi,"5' 7""",170.2,155 lbs.,70.0,Southpaw
Josh Barnett,"6' 3""",190.5,250 lbs.,78.0,Orthodox
Ronys Torres,"5' 7""",170.2,155 lbs.,71.55387673956263,Orthodox
Yoshiro Maeda,"5' 7""",170.2,139 lbs.,68.0,Southpaw
Nate Marquardt,"6' 0""",182.9,185 lbs.,74.0,Orthodox
Alexander Sarnavskiy,"5' 11""",180.3,155 lbs.,71.55387673956263,
Mirko Filipovic,"6' 2""",188.0,230 lbs.,73.0,Southpaw
John Gunderson,"5' 9""",175.3,155 lbs.,69.0,Orthodox
Wanderlei Silva,"5' 11""",180.3,205 lbs.,74.0,Orthodox
Paul Buentello,"6' 2""",188.0,245 lbs.,77.0,Orthodox
John Alessio,"5' 10""",177.8,155 lbs.,72.0,Orthodox
Iuri Alcantara,"5' 9""",175.3,135 lbs.,71.0,Southpaw
Andrei Semenov,"6' 0""",182.9,185 lbs.,71.55387673956263,Orthodox
Yushin Okami,"6' 2""",188.0,170 lbs.,75.0,Southpaw
Anderson Silva,"6' 2""",188.0,185 lbs.,77.0,Southpaw
King Green,"5' 10""",177.8,155 lbs.,71.0,Orthodox
Andrei Arlovski,"6' 3""",190.5,240 lbs.,77.0,Orthodox
Antonio Rodrigo Nogueira,"6' 3""",190.5,240 lbs.,77.0,Orthodox
Hector Lombard,"5' 9""",175.3,185 lbs.,71.0,Southpaw
Keita Nakamura,"5' 11""",180.3,170 lbs.,73.0,Southpaw
Hideo Tokoro,"5' 7""",170.2,135 lbs.,71.55387673956263,Orthodox
Pat Healy,"6' 0""",182.9,155 lbs.,72.0,Orthodox
Trevor Prangley,"6' 1""",185.4,185 lbs.,75.0,Orthodox
Will Chope,"6' 4""",193.0,145 lbs.,71.55387673956263,Switch
Ding Meng,"6' 2""",188.0,170 lbs.,73.0,Orthodox
Naoyuki Kotani,"5' 8""",172.7,155 lbs.,66.0,Southpaw
Renan Barao,"5' 6""",167.6,145 lbs.,70.0,Orthodox
Ron Faircloth,"5' 9""",175.3,205 lbs.,71.55387673956263,Orthodox
Gleison Tibau,"5' 10""",177.8,155 lbs.,71.0,Southpaw
Stefan Struve,"6' 11""",210.8,265 lbs.,84.0,Orthodox
Julio Cesar Neves Jr.,"5' 8""",172.7,145 lbs.,71.55387673956263,
Chad Reiner,"5' 11""",180.3,170 lbs.,71.55387673956263,Orthodox
Caol Uno,"5' 7""",170.2,155 lbs.,70.0,Southpaw
Gleristone Santos,"5' 9""",175.3,145 lbs.,71.55387673956263,
Joe Stevenson,"5' 7""",170.2,145 lbs.,70.0,Orthodox
Sam Alvey,"6' 2""",188.0,185 lbs.,75.0,Southpaw
Anthony Ruiz,"6' 2""",188.0,205 lbs.,71.55387673956263,Orthodox
Jason DeLucia,"5' 11""",180.3,190 lbs.,71.55387673956263,Southpaw
Tim Means,"6' 2""",188.0,170 lbs.,75.0,Orthodox
Antony Rea,"6' 0""",182.9,205 lbs.,71.55387673956263,Orthodox
Glover Teixeira,"6' 2""",188.0,205 lbs.,76.0,Orthodox
Evan Tanner,"6' 0""",182.9,185 lbs.,74.0,Orthodox
Xavier Foupa-Pokam,"6' 1""",185.4,185 lbs.,71.55387673956263,Open Stance
Dan Henderson,"5' 11""",180.3,185 lbs.,74.0,Orthodox
Maxim Grishin,"6' 3""",190.5,205 lbs.,78.0,Orthodox
Rafael Dos Anjos,"5' 8""",172.7,170 lbs.,70.0,Southpaw
Shang Zhifa,"5' 7""",170.2,125 lbs.,63.0,Orthodox
Carlos Condit,"6' 2""",188.0,170 lbs.,75.0,Orthodox
Jiri Prochazka,"6' 3""",190.5,205 lbs.,80.0,Orthodox
Chris Curtis,"5' 10""",177.8,170 lbs.,75.0,Orthodox
Jose Aldo,"5' 7""",170.2,135 lbs.,70.0,Orthodox
Melvin Guillard,"5' 9""",175.3,155 lbs.,71.0,Orthodox
Michel Pereira,"6' 1""",185.4,185 lbs.,73.0,Orthodox
Kiyoshi Tamura,"5' 11""",180.3,185 lbs.,71.55387673956263,Southpaw
Carlo Prater,"5' 11""",180.3,155 lbs.,72.0,Switch
Chris Lytle,"5' 11""",180.3,170 lbs.,68.0,Orthodox
Jesse Taylor,"6' 0""",182.9,170 lbs.,73.0,Orthodox
Neil Magny,"6' 3""",190.5,170 lbs.,80.0,Orthodox
Julian Erosa,"6' 1""",185.4,145 lbs.,74.0,Southpaw
Diego Sanchez,"5' 10""",177.8,170 lbs.,72.0,Southpaw
John Lineker,"5' 3""",160.0,135 lbs.,67.0,Orthodox
Sean Loeffler,"6' 3""",190.5,185 lbs.,71.55387673956263,Orthodox
Jordan Mein,"6' 0""",182.9,170 lbs.,73.0,Orthodox
Jake Ellenberger,"5' 9""",175.3,170 lbs.,71.0,Orthodox
Nikita Krylov,"6' 3""",190.5,205 lbs.,77.0,Orthodox
Jake Shields,"6' 0""",182.9,170 lbs.,72.0,Orthodox
Santiago Ponzinibbio,"6' 0""",182.9,170 lbs.,73.0,Orthodox
Tim Sylvia,"6' 8""",203.2,265 lbs.,80.0,Orthodox
Donald Sanchez,"5' 10""",177.8,145 lbs.,71.55387673956263,
Sanae Kikuta,"5' 9""",175.3,200 lbs.,71.55387673956263,Orthodox
Shunichi Shimizu,"5' 5""",165.1,135 lbs.,71.55387673956263,Orthodox
Nik Lentz,"5' 8""",172.7,145 lbs.,68.0,Orthodox
Matt Horwich,"6' 1""",185.4,185 lbs.,71.55387673956263,Orthodox
Yoshiki Takahashi,"5' 11""",180.3,199 lbs.,71.55387673956263,Southpaw
Guy Mezger,"6' 1""",185.4,200 lbs.,71.55387673956263,Orthodox
Falaniko Vitale,"5' 10""",177.8,185 lbs.,71.55387673956263,Orthodox
Melvin Manhoef,"5' 9""",175.3,185 lbs.,71.55387673956263,Orthodox
Mikhail Iloukhine,"5' 9""",175.3,205 lbs.,71.55387673956263,Orthodox
Cub Swanson,"5' 8""",172.7,145 lbs.,70.0,Orthodox
Dave Dalgliesh,"6' 2""",188.0,205 lbs.,71.55387673956263,Orthodox
Robbie Lawler,"5' 11""",180.3,170 lbs.,74.0,Southpaw
Valentijn Overeem,"6' 3""",190.5,230 lbs.,71.55387673956263,Orthodox
Jon Fitch,"6' 0""",182.9,170 lbs.,74.0,Orthodox
Phil Johns,"5' 2""",157.5,170 lbs.,71.55387673956263,Southpaw
Tyler Stinson,"6' 3""",190.5,170 lbs.,71.55387673956263,
Iliarde Santos,"5' 5""",165.1,125 lbs.,67.0,Orthodox
Sean Strickland,"6' 1""",185.4,185 lbs.,76.0,Orthodox
Daniel Acacio,"5' 8""",172.7,180 lbs.,71.55387673956263,Orthodox
Michael Bisping,"6' 1""",185.4,185 lbs.,75.0,Orthodox
Chris Mickle,"5' 9""",175.3,145 lbs.,71.55387673956263,Orthodox
Charles Bennett,"5' 8""",172.7,155 lbs.,71.55387673956263,Orthodox
Aaron Riley,"5' 8""",172.7,155 lbs.,69.0,Southpaw
Alexandre Pantoja,"5' 5""",165.1,125 lbs.,67.0,Orthodox
Dustin Poirier,"5' 9""",175.3,155 lbs.,72.0,Southpaw
Steven Siler,"5' 11""",180.3,145 lbs.,70.0,Orthodox
Khabib Nurmagomedov,"5' 10""",177.8,155 lbs.,70.0,Orthodox
Jose Landi-Jons,"5' 11""",180.3,170 lbs.,71.55387673956263,Orthodox
Drew Dober,"5' 8""",172.7,155 lbs.,70.0,Southpaw
Douglas Lima,"6' 1""",185.4,170 lbs.,71.55387673956263,
Brian Gassaway,"6' 1""",185.4,170 lbs.,71.55387673956263,Orthodox
Douglas Silva de Andrade,"5' 7""",170.2,145 lbs.,68.0,Orthodox
Delson Heleno,"5' 11""",180.3,185 lbs.,71.55387673956263,Orthodox
Antonio McKee,"5' 8""",172.7,155 lbs.,71.55387673956263,Southpaw
Joey Villasenor,"6' 0""",182.9,185 lbs.,71.55387673956263,Orthodox
Wendell Oliveira Marques,"5' 10""",177.8,170 lbs.,71.55387673956263,Orthodox
Darren Elkins,"5' 10""",177.8,145 lbs.,71.0,Orthodox
Edilberto de Oliveira,"6' 0""",182.9,170 lbs.,71.55387673956263,Orthodox
Hatsu Hioki,"5' 11""",180.3,145 lbs.,73.0,Orthodox
Jan Blachowicz,"6' 2""",188.0,205 lbs.,78.0,Orthodox
Dakota Cochrane,"5' 8""",172.7,155 lbs.,71.55387673956263,
Yaroslav Amosov,"6' 0""",182.9,170 lbs.,75.0,Orthodox
Pat Miletich,"5' 10""",177.8,170 lbs.,71.55387673956263,Orthodox
Egidijus Valavicius,"6' 0""",182.9,200 lbs.,71.55387673956263,Orthodox
Eiji Ishikawa,"5' 10""",177.8,170 lbs.,71.55387673956263,
Eddie Alvarez,"5' 9""",175.3,155 lbs.,69.0,Orthodox
Chael Sonnen,"6' 1""",185.4,205 lbs.,73.0,Southpaw
Rich Franklin,"6' 1""",185.4,185 lbs.,76.0,Southpaw
Jim Wallhead,"5' 10""",177.8,170 lbs.,71.55387673956263,Orthodox
Lucas Lopes,"6' 2""",188.0,185 lbs.,71.55387673956263,
Poppies Martinez,"5' 9""",175.3,145 lbs.,71.55387673956263,
Wuziazibieke Jiahefu,"5' 9""",175.3,145 lbs.,70.0,Orthodox
Derrick Lewis,"6' 3""",190.5,260 lbs.,79.0,Orthodox
JJ Ambrose,"5' 10""",177.8,170 lbs.,71.55387673956263,Orthodox
Jeremy Stephens,"5' 9""",175.3,155 lbs.,71.0,Orthodox
Alexander Volkanovski,"5' 6""",167.6,145 lbs.,71.0,Orthodox
Heath Herring,"6' 4""",193.0,250 lbs.,78.0,Orthodox
Igor Pokrajac,"6' 0""",182.9,205 lbs.,74.0,Orthodox
Joseph Benavidez,"5' 4""",162.6,125 lbs.,65.0,Southpaw
Robert McDaniel,"6' 3""",190.5,185 lbs.,75.0,Southpaw
Nazareno Malegarie,"5' 8""",172.7,155 lbs.,71.55387673956263,
Efrain Escudero,"5' 9""",175.3,155 lbs.,71.0,Orthodox
Thales Leites,"6' 1""",185.4,185 lbs.,78.0,Orthodox
Demian Maia,"6' 1""",185.4,170 lbs.,72.0,Southpaw
Ron Fields,"6' 2""",188.0,200 lbs.,71.55387673956263,Orthodox
Nariman Abbasov,"5' 8""",172.7,155 lbs.,66.0,Orthodox
Jon Jones,"6' 4""",193.0,248 lbs.,84.0,Orthodox
Motonobu Tezuka,"5' 7""",170.2,135 lbs.,71.55387673956263,Southpaw
Joe Lauzon,"5' 10""",177.8,155 lbs.,71.0,Orthodox
Raphael Assuncao,"5' 5""",165.1,135 lbs.,66.0,Orthodox
Islam Makhachev,"5' 10""",177.8,170 lbs.,70.0,Southpaw
Rafael Silva,"5' 7""",170.2,135 lbs.,71.55387673956263,
Sergey Khandozhko,"6' 1""",185.4,170 lbs.,74.0,Orthodox
Daisuke Nakamura,"5' 7""",170.2,154 lbs.,71.55387673956263,Orthodox
Johnny Eduardo,"5' 7""",170.2,135 lbs.,71.0,Orthodox
Adriano Martins,"5' 10""",177.8,155 lbs.,72.0,Southpaw
James Krause,"6' 2""",188.0,170 lbs.,73.0,Orthodox
Ken Shamrock,"6' 1""",185.4,205 lbs.,72.0,Orthodox
Keith Wisniewski,"6' 0""",182.9,170 lbs.,71.55387673956263,Orthodox
Kevin Holland,"6' 3""",190.5,170 lbs.,81.0,Orthodox
Bas Rutten,"6' 1""",185.4,205 lbs.,71.55387673956263,Orthodox
Abus Magomedov,"6' 2""",188.0,185 lbs.,78.0,Orthodox
Daniel Pineda,"5' 7""",170.2,145 lbs.,69.0,Orthodox
Rani Yahya,"5' 6""",167.6,135 lbs.,67.0,Orthodox
Francisco Trinaldo,"5' 9""",175.3,170 lbs.,70.0,Southpaw
Joshua Burkman,"5' 10""",177.8,170 lbs.,72.0,Orthodox
Marcin Tybura,"6' 3""",190.5,246 lbs.,78.0,Orthodox
Ivan Jorge,"5' 9""",175.3,155 lbs.,73.0,Orthodox
Rongzhu,"5' 9""",175.3,155 lbs.,71.0,Orthodox
Demetrious Johnson,"5' 3""",160.0,125 lbs.,66.0,Orthodox
Mairbek Taisumov,"5' 9""",175.3,155 lbs.,73.0,Orthodox
Karl Amoussou,"5' 11""",180.3,185 lbs.,71.55387673956263,Orthodox
Vladimir Matyushenko,"6' 0""",182.9,205 lbs.,74.0,Orthodox
Jens Pulver,"5' 7""",170.2,145 lbs.,70.0,Southpaw
Mike Pyle,"6' 0""",182.9,170 lbs.,74.0,Orthodox
Cheick Kongo,"6' 4""",193.0,240 lbs.,82.0,Orthodox
Ovince Saint Preux,"6' 3""",190.5,205 lbs.,80.0,Southpaw
Diego Lopes,"5' 11""",180.3,145 lbs.,72.0,Orthodox
Ed Herman,"6' 1""",185.4,205 lbs.,77.0,Orthodox
Justin Gaethje,"5' 11""",180.3,155 lbs.,70.0,Orthodox
Max Holloway,"5' 11""",180.3,155 lbs.,69.0,Orthodox
Laverne Clark,"5' 11""",180.3,170 lbs.,71.55387673956263,Orthodox
Xiao Long,"5' 8""",172.7,135 lbs.,70.0,Orthodox
Brian Foster,"5' 9""",175.3,170 lbs.,71.0,Orthodox
Robert Whittaker,"6' 0""",182.9,185 lbs.,73.0,Orthodox
Mauricio Rua,"6' 1""",185.4,205 lbs.,76.0,Orthodox
Tsuyoshi Kohsaka,"5' 11""",180.3,225 lbs.,71.55387673956263,Orthodox
Mike Whitehead,"6' 1""",185.4,205 lbs.,71.55387673956263,Orthodox
Derrick Noble,"5' 9""",175.3,170 lbs.,71.55387673956263,Southpaw
Thomas Denny,"5' 10""",177.8,170 lbs.,71.55387673956263,Orthodox
Darrick Minner,"5' 7""",170.2,145 lbs.,69.0,Orthodox
Maimaitituoheti Keremuaili,"5' 6""",167.6,135 lbs.,66.0,Orthodox
Matt Brown,"6' 0""",182.9,170 lbs.,75.0,Orthodox
Aaron Brink,"6' 3""",190.5,205 lbs.,71.55387673956263,Orthodox
Jason Lambert,"6' 3""",190.5,185 lbs.,75.0,Orthodox
Nick Diaz,"6' 1""",185.4,170 lbs.,76.0,Southpaw
Masanori Kanehara,"5' 7""",170.2,135 lbs.,67.0,Orthodox
Mike Brown,"5' 6""",167.6,145 lbs.,70.0,Orthodox
Tony Ferguson,"5' 11""",180.3,170 lbs.,76.0,Orthodox
Rodney Wallace,"5' 9""",175.3,205 lbs.,72.0,Switch
Jacare Souza,"6' 1""",185.4,185 lbs.,72.0,Orthodox
Vernon White,"6' 0""",182.9,205 lbs.,71.55387673956263,Southpaw
Krzysztof Soszynski,"6' 1""",185.4,205 lbs.,77.0,Open Stance
Nick Rossborough,"6' 5""",195.6,205 lbs.,71.55387673956263,
Sergei Kharitonov,"6' 0""",182.9,245 lbs.,71.55387673956263,Orthodox
Georges St-Pierre,"5' 11""",180.3,185 lbs.,76.0,Orthodox
Fernando Gonzalez,"5' 9""",175.3,170 lbs.,68.0,Southpaw
Aoriqileng,"5' 7""",170.2,135 lbs.,69.0,Orthodox
Alex Perez,"5' 6""",167.6,125 lbs.,65.0,Orthodox
Jessica Andrade,"5' 1""",154.9,115 lbs.,62.0,Orthodox
Georgi Karakhanyan,"5' 8""",172.7,145 lbs.,71.55387673956263,
Yuya Shirai,"5' 8""",172.7,168 lbs.,71.55387673956263,Orthodox
Valentina Shevchenko,"5' 5""",165.1,125 lbs.,66.0,Southpaw
Luigi Fioravanti,"5' 8""",172.7,170 lbs.,70.0,Orthodox
Melquizael Costa,"5' 10""",177.8,145 lbs.,71.0,Southpaw
Jameel Massouh,"5' 10""",177.8,145 lbs.,72.0,Orthodox
Kazushi Sakuraba,"6' 0""",182.9,185 lbs.,71.55387673956263,Southpaw
Michel Prazeres,"5' 6""",167.6,170 lbs.,67.0,Orthodox
Homer Moore,"5' 10""",177.8,205 lbs.,71.55387673956263,Orthodox
Anthony Macias,"5' 9""",175.3,185 lbs.,71.55387673956263,Switch
Semmy Schilt,"6' 10""",208.3,265 lbs.,71.55387673956263,Orthodox
Dave Cochran,"5' 6""",167.6,155 lbs.,71.55387673956263,
Eric Wisely,"5' 8""",172.7,145 lbs.,71.55387673956263,Southpaw
Emanuel Newton,"6' 1""",185.4,205 lbs.,71.55387673956263,
Willamy Freire,"5' 8""",172.7,155 lbs.,71.55387673956263,Orthodox
Yizha,"5' 7""",170.2,145 lbs.,71.0,Orthodox
Makhmud Muradov,"6' 2""",188.0,185 lbs.,75.0,Orthodox
Megumi Fujii,"5' 3""",160.0,113 lbs.,71.55387673956263,
Forrest Petz,"5' 9""",175.3,170 lbs.,71.0,Orthodox
Brendan Allen,"6' 2""",188.0,185 lbs.,75.0,Orthodox
Ante Delija,"6' 3""",190.5,239 lbs.,78.0,Orthodox
Brian Geraghty,"5' 7""",170.2,155 lbs.,71.55387673956263,Orthodox
Vitor Belfort,"6' 0""",182.9,185 lbs.,74.0,Southpaw
Din Thomas,"5' 9""",175.3,155 lbs.,71.55387673956263,Orthodox
Edwin Aguilar,"5' 10""",177.8,185 lbs.,71.55387673956263,
Zhang Weili,"5' 4""",162.6,115 lbs.,63.0,Switch
Koji Oishi,"5' 8""",172.7,170 lbs.,71.55387673956263,Orthodox
Elizeu Zaleski dos Santos,"5' 11""",180.3,170 lbs.,73.0,Orthodox
Ismail Naurdiev,"5' 10""",177.8,185 lbs.,74.0,Orthodox
Francis Carmont,"6' 3""",190.5,205 lbs.,78.0,Orthodox
Yasuhito Namekawa,"5' 9""",175.3,205 lbs.,71.55387673956263,Orthodox
Dustin Neace,"5' 9""",175.3,145 lbs.,69.0,
Dave Strasser,"5' 10""",177.8,170 lbs.,71.55387673956263,Orthodox
Victor Henry,"5' 7""",170.2,135 lbs.,68.0,Switch
Aljamain Sterling,"5' 7""",170.2,145 lbs.,71.0,Orthodox
Jutaro Nakao,"5' 9""",175.3,170 lbs.,71.55387673956263,Southpaw
Kazuo Misaki,"5' 8""",172.7,183 lbs.,71.55387673956263,Orthodox
Kotetsu Boku,"5' 9""",175.3,154 lbs.,71.55387673956263,Orthodox
Pete Spratt,"5' 9""",175.3,170 lbs.,71.55387673956263,Orthodox
Yuki Sasaki,"6' 2""",188.0,185 lbs.,71.55387673956263,Orthodox
Rob Kimmons,"5' 10""",177.8,185 lbs.,73.0,Orthodox
Andre Fili,"5' 11""",180.3,145 lbs.,74.0,Orthodox
Deiveson Figueiredo,"5' 5""",165.1,135 lbs.,68.0,Orthodox
Chidi Njokuani,"6' 3""",190.5,170 lbs.,80.0,Orthodox
Ryan Healy,"6' 1""",185.4,155 lbs.,71.55387673956263,Orthodox
Jason MacDonald,"6' 3""",190.5,185 lbs.,80.0,Orthodox
Mateusz Gamrot,"5' 10""",177.8,155 lbs.,70.0,Southpaw
Victor Hugo,"5' 7""",170.2,135 lbs.,71.0,Orthodox
Yan Qihui,"5' 3""",160.0,125 lbs.,62.0,Orthodox
Kai Kara-France,"5' 4""",162.6,125 lbs.,69.0,Orthodox
Ivan Menjivar,"5' 6""",167.6,145 lbs.,64.0,Orthodox
Brandon Melendez,"5' 11""",180.3,155 lbs.,71.55387673956263,Southpaw
Brad Pickett,"5' 6""",167.6,135 lbs.,68.0,Orthodox
Anatoly Tokov,"5' 10""",177.8,185 lbs.,71.55387673956263,
Kazunori Yokota,"5' 8""",172.7,154 lbs.,71.55387673956263,Orthodox
Michael Johnson,"5' 10""",177.8,155 lbs.,73.0,Southpaw
Dan Hardy,"6' 0""",182.9,170 lbs.,74.0,Orthodox
Rodney Faverus,"6' 0""",182.9,215 lbs.,71.55387673956263,Southpaw
Igor Araujo,"6' 1""",185.4,170 lbs.,77.0,Orthodox
Zak Cummings,"6' 0""",182.9,205 lbs.,75.0,Southpaw
Tom Sauer,"6' 1""",185.4,263 lbs.,71.55387673956263,
Tommy Lee,"5' 7""",170.2,145 lbs.,71.55387673956263,Orthodox
Jorge Santiago,"6' 1""",185.4,170 lbs.,75.0,Orthodox
Roxanne Modafferi,"5' 7""",170.2,125 lbs.,69.0,Orthodox
Daniel Straus,"5' 7""",170.2,145 lbs.,71.0,
Eddie Wineland,"5' 7""",170.2,135 lbs.,69.0,Orthodox
Chase Beebe,"5' 7""",170.2,135 lbs.,67.0,Orthodox
Greg Rebello,"6' 0""",182.9,240 lbs.,73.0,Southpaw
Israel Adesanya,"6' 4""",193.0,185 lbs.,80.0,Switch
Benson Henderson,"5' 9""",175.3,170 lbs.,70.0,Southpaw
David Bielkheden,"5' 10""",177.8,155 lbs.,71.0,Orthodox
Krzysztof Jotko,"6' 1""",185.4,185 lbs.,77.0,Southpaw
Fabricio Werdum,"6' 4""",193.0,231 lbs.,77.0,Orthodox
Nick Agallar,"5' 8""",172.7,155 lbs.,71.55387673956263,Orthodox
Jack Hermansson,"6' 1""",185.4,170 lbs.,77.0,Orthodox
Wes Sims,"6' 10""",208.3,260 lbs.,71.55387673956263,Orthodox
Alex Morono,"5' 11""",180.3,170 lbs.,72.0,Orthodox
Riki Fukuda,"6' 0""",182.9,185 lbs.,73.0,Southpaw
Michael Page,"6' 3""",190.5,170 lbs.,79.0,Switch
Spencer Fisher,"5' 7""",170.2,155 lbs.,68.0,Southpaw
Kestutis Smirnovas,"5' 10""",177.8,200 lbs.,71.55387673956263,Orthodox
Anton Kuivanen,"5' 8""",172.7,155 lbs.,72.0,Orthodox
Ludovit Klein,"5' 7""",170.2,155 lbs.,72.0,Southpaw
John Maguire,"5' 9""",175.3,155 lbs.,69.0,Southpaw
Lyoto Machida,"6' 1""",185.4,185 lbs.,74.0,Southpaw
Siyar Bahadurzada,"5' 11""",180.3,170 lbs.,73.0,Orthodox
Rustam Khabilov,"5' 8""",172.7,155 lbs.,73.0,Orthodox
Belal Muhammad,"5' 11""",180.3,170 lbs.,72.0,Orthodox
