Nome,Vitorias,Derrotas,Draws,SLpM,Str_Acc,SApM,Str_Def,TD_Avg,TD_Acc,TD_Def,Sub_Avg
Fedor Emelianenko,36,5,0,3.18,51.0,1.0,63%,2.0,63%,82%,1.9
Masakazu Imanari,36,16,2,0.55,30.0,1.74,57%,0.0,0%,0%,2.1
Kyoji Horiguchi,36,5,0,3.77,47.0,2.13,63%,1.61,40%,61%,0.1
Bobby Hoffman,36,10,1,2.02,70.0,1.32,19%,1.17,50%,0%,1.2
Harris Sarmiento,36,26,0,0.84,25.0,3.46,36%,2.36,60%,57%,0.0
Dion Staring,35,14,0,1.09,37.0,5.0,47%,0.0,0%,33%,0.0
Jorge Masvidal,35,17,0,4.05,47.0,3.05,64%,1.38,59%,72%,0.3
Akihiro Gono,35,21,8,2.18,48.0,2.67,63%,1.01,84%,46%,0.5
Denis Kang,35,16,2,2.27,35.0,1.65,67%,2.51,65%,38%,1.2
Urijah Faber,35,11,0,2.65,40.0,2.59,64%,1.54,30%,58%,0.8
Takanori Gomi,35,14,0,3.81,41.0,3.52,60%,1.23,65%,63%,0.8
Josh Barnett,35,8,0,3.2,50.0,2.11,57%,1.26,55%,55%,1.4
Ronys Torres,35,5,0,0.87,26.0,1.93,57%,4.0,47%,16%,0.5
Yoshiro Maeda,35,16,5,2.36,33.0,2.55,63%,2.93,51%,50%,0.7
Nate Marquardt,35,19,2,2.71,49.0,2.32,55%,1.87,51%,70%,0.8
Alexander Sarnavskiy,35,6,0,1.43,66.0,2.06,42%,0.0,0%,75%,0.0
Mirko Filipovic,35,11,2,2.11,50.0,1.89,63%,0.19,40%,78%,0.3
John Gunderson,35,16,2,1.04,27.0,1.71,58%,1.67,33%,11%,2.0
Wanderlei Silva,35,13,1,2.79,40.0,2.19,60%,0.97,53%,62%,0.6
Paul Buentello,35,17,0,3.29,45.0,3.83,52%,0.19,33%,39%,0.4
John Alessio,35,17,0,2.1,39.0,2.91,54%,1.85,38%,70%,1.2
