Nome,Vitorias,Derrotas,Draws,SLpM,Str_Acc,SApM,Str_Def,TD_Avg,TD_Acc,TD_Def,Sub_Avg
Alvin Cacdac,18,13,0,1.21,66.0,0.61,0%,0.0,0%,0%,0.0
Serghei Spivac,18,6,0,3.57,47.0,4.23,52%,3.82,59%,63%,0.5
Jakub Wiklacz,18,3,2,3.4,44.0,3.87,46%,0.0,0%,41%,2.5
Raja Shippen,18,11,1,0.0,0.0,0.0,0%,0.0,0%,0%,0.0
Doug Marshall,18,8,0,6.99,46.0,4.02,60%,0.0,0%,66%,2.4
Daniel Marcos,18,1,0,4.9,53.0,3.79,61%,1.35,52%,85%,0.1
Philipe Lins,18,5,0,3.8,49.0,3.59,46%,1.65,33%,100%,0.0
Rafa Garcia,18,4,0,4.31,45.0,4.54,61%,3.13,44%,76%,0.5
Aaron Rosa,18,6,0,4.03,47.0,4.41,45%,0.36,33%,85%,0.4
Jorge Ortiz,18,9,1,3.53,58.0,2.8,73%,0.0,0%,0%,0.0
Antonio Mendes,18,13,0,1.34,47.0,6.85,22%,2.51,50%,100%,0.0
Yoshiyuki Yoshida,18,9,0,0.85,36.0,3.67,36%,1.41,28%,25%,2.8
Caio Borralho,18,2,0,3.47,56.0,2.61,60%,1.25,50%,76%,0.4
Crafton Wallace,18,6,1,1.55,44.0,2.36,47%,0.0,0%,42%,0.0
Alexandr Romanov,18,3,0,3.78,51.0,2.13,54%,4.49,55%,28%,0.9
Joe Soto,18,7,0,3.36,41.0,5.37,67%,0.85,21%,70%,1.9
Chad Mendes,18,5,0,2.78,49.0,2.35,67%,4.13,55%,100%,0.3
Sean Salmon,18,21,0,1.49,33.0,2.03,65%,4.06,50%,0%,0.0
Kevin Lee,18,8,0,3.88,42.0,3.6,50%,3.18,43%,75%,0.8
Mike Bronzoulis,18,9,1,1.13,34.0,2.54,37%,0.0,0%,33%,0.0
Jordan Griffin,18,9,0,2.52,46.0,3.02,50%,1.45,35%,42%,1.9
Travis Browne,18,7,1,2.93,41.0,4.31,42%,1.21,68%,75%,0.2
Robert Bryczek,18,6,0,3.74,36.0,4.08,59%,0.56,100%,85%,0.0
Bogdan Guskov,18,3,1,4.57,55.0,4.09,44%,0.0,0%,57%,0.7
Alexander Gustafsson,18,8,0,4.03,40.0,3.53,51%,1.53,39%,83%,0.4
Jack Della Maddalena,18,3,0,5.57,51.0,3.84,63%,0.13,10%,64%,0.1
Kazuki Tokudome,18,7,1,2.26,41.0,3.63,53%,2.0,38%,78%,0.0
Will Brooks,18,4,0,4.26,59.0,2.54,56%,2.08,51%,82%,0.3
Uriah Hall,18,11,0,3.23,48.0,3.85,54%,0.54,38%,64%,0.1
Lucas Rocha,18,2,0,5.09,49.0,3.67,56%,1.64,75%,76%,0.0
Nasrat Haqparast,18,6,0,6.36,45.0,6.0,63%,0.34,20%,86%,0.0
Ben Alloway,18,8,0,1.28,49.0,1.9,59%,0.62,50%,26%,0.0
Marvin Eastman,18,15,1,2.21,35.0,3.92,42%,1.38,33%,81%,0.0
Baergeng Jieleyisi,18,7,0,1.61,35.0,2.62,52%,1.73,38%,78%,0.2
Hernani Perpetuo,18,5,0,2.73,29.0,4.37,55%,0.0,0%,37%,0.5
Lorenz Larkin,18,6,0,3.53,46.0,2.74,63%,0.27,42%,79%,0.1
Justin Guthrie,18,9,0,0.16,33.0,3.74,14%,2.44,25%,0%,4.9
Brian Warren,18,17,1,1.16,21.0,4.63,57%,0.0,0%,0%,0.0
Nate Landwehr,18,7,0,5.63,45.0,5.83,52%,0.76,41%,71%,0.8
Saimon Oliveira,18,7,0,2.62,42.0,3.87,45%,1.18,28%,36%,1.2
Billy Quarantillo,18,7,0,7.44,54.0,5.83,42%,1.47,24%,61%,1.0
Sean Brady,18,2,0,3.96,55.0,3.05,59%,3.53,53%,86%,0.9
Joanderson Brito,18,5,1,2.43,51.0,2.32,44%,3.38,67%,47%,1.1
Loik Radzhabov,18,6,1,2.89,44.0,3.76,46%,4.65,57%,42%,0.0
Paulo Thiago,18,9,0,1.71,39.0,1.99,63%,1.42,31%,63%,1.2
Piotr Hallmann,18,6,0,3.98,45.0,3.17,58%,2.55,44%,70%,0.4
Rameau Thierry Sokoudjou,18,18,0,2.26,45.0,2.61,56%,1.93,47%,78%,0.9
Evan Dunham,18,9,1,5.33,39.0,3.54,61%,1.82,33%,79%,1.0
Bill Algeo,18,9,0,5.88,51.0,4.38,47%,1.03,50%,55%,0.1
Hitomi Akano,18,10,0,0.59,45.0,2.58,55%,0.0,0%,8%,0.5
Lavar Johnson,18,10,0,5.39,55.0,2.54,55%,0.61,66%,54%,0.6
Youssef Zalal,18,5,1,3.03,50.0,1.78,66%,2.17,31%,59%,1.4
Mike Pierce,17,7,0,2.62,42.0,2.36,62%,3.08,42%,71%,0.2
Damien Brown,17,12,0,3.66,38.0,4.86,50%,0.68,27%,53%,0.7
Kyle Nelson,17,6,1,3.6,45.0,4.48,53%,1.18,23%,66%,0.5
Zak Bucia,17,8,0,0.0,0.0,0.0,0%,0.0,0%,0%,0.0
Davey Grant,17,8,0,5.14,44.0,3.82,55%,1.03,40%,63%,0.2
Keith Jardine,17,11,2,3.25,36.0,2.98,59%,1.18,45%,62%,0.7
Michael McDonald,17,4,0,2.69,42.0,2.76,57%,1.09,66%,52%,1.4
Marina Rodriguez,17,6,2,4.51,46.0,3.01,55%,0.27,50%,61%,0.3
Rafael Dias,17,12,2,1.13,27.0,2.19,60%,3.17,47%,100%,1.2
Luis Felipe Dias,17,5,0,1.77,38.0,2.7,52%,6.24,57%,66%,1.6
CB Dollaway,17,9,0,2.65,47.0,2.58,54%,3.55,54%,62%,1.2
Chan Sung Jung,17,8,0,3.93,41.0,4.52,52%,0.7,44%,72%,0.6
Myles Jury,17,4,0,2.94,42.0,2.16,66%,2.16,55%,50%,0.3
Matt Schnell,17,10,0,4.07,40.0,4.11,55%,0.6,45%,43%,1.2
Chico Camus,17,7,0,2.58,41.0,2.46,64%,0.77,40%,72%,0.4
Gabriel Gonzaga,17,11,0,2.12,45.0,2.94,57%,2.8,39%,66%,1.1
Nick Gonzalez,17,12,0,0.59,20.0,2.35,33%,0.0,0%,50%,0.0
Kevin Randleman,17,16,0,1.26,54.0,1.12,57%,2.0,56%,30%,0.8
Gideon Ray,17,15,1,2.08,40.0,2.58,53%,1.49,100%,0%,0.0
Eun Soo Lee,17,4,0,0.0,0.0,3.05,60%,0.0,0%,50%,0.0
Miranda Maverick,17,6,0,3.22,44.0,2.25,61%,2.16,40%,45%,0.4
Cody Durden,17,10,1,3.34,44.0,4.19,50%,3.89,46%,60%,0.6
Terrance McKinney,17,8,0,6.24,56.0,3.46,43%,3.34,40%,72%,2.1
Houston Alexander,17,15,1,3.06,54.0,3.2,52%,1.19,57%,33%,0.0
Marcio Alexandre Junior,17,4,0,1.61,45.0,2.89,42%,0.35,20%,66%,0.7
Danny Navarro,17,7,0,3.83,32.0,4.62,57%,2.17,25%,100%,0.0
Terrion Ware,17,9,0,4.02,32.0,6.07,50%,0.5,22%,44%,0.0
Luiz Cane,17,7,0,4.79,41.0,5.0,60%,0.56,28%,100%,0.3
Kalib Starnes,17,11,1,2.71,48.0,4.43,53%,1.46,33%,25%,0.6
Francis Ngannou,17,3,0,2.33,41.0,2.16,41%,0.76,62%,71%,0.3
TJ Brown,17,11,0,3.37,44.0,2.89,49%,3.41,57%,36%,1.3
Ilir Latifi,17,9,0,2.05,45.0,2.93,56%,2.11,35%,100%,0.3
Dan Lauzon,17,6,0,1.34,25.0,4.09,61%,1.63,33%,80%,2.7
Donnie Liles,17,7,0,2.25,41.0,1.75,65%,2.5,28%,0%,1.2
Jae Suk Lim,17,6,0,2.43,50.0,4.05,37%,12.16,100%,100%,0.0
Dhiego Lima,17,9,0,3.12,39.0,3.88,58%,1.26,34%,73%,0.6
Benoit Saint Denis,17,3,0,5.62,58.0,4.09,42%,4.19,35%,72%,1.8
Alejandro Villalobos,17,5,0,3.93,46.0,4.07,67%,1.0,50%,0%,0.0
Gian Villante,17,14,0,4.38,44.0,5.47,55%,0.45,23%,83%,0.0
Chris Cariaso,17,8,0,3.35,43.0,2.23,61%,1.11,39%,57%,0.8
Sean O'Connell,17,9,0,5.46,48.0,6.77,45%,0.0,0%,30%,0.5
Makwan Amirkhani,17,9,0,1.33,44.0,2.98,46%,3.96,43%,35%,1.1
Jean Matsumoto,17,2,0,5.37,39.0,5.41,47%,3.0,48%,56%,0.5
Ronaldo Rodriguez,17,3,0,2.71,43.0,3.8,44%,1.09,36%,64%,0.8
Chuck O'Neil,17,9,0,3.13,37.0,4.4,72%,0.0,0%,0%,0.0
Seo Hee Ham,17,8,0,4.2,39.0,5.15,61%,0.0,0%,66%,0.2
Louis Smolka,17,9,0,4.67,47.0,4.11,53%,1.69,35%,32%,1.8
Peter Sobotta,17,7,1,2.14,40.0,2.9,58%,1.53,32%,77%,0.5
Abubakar Nurmagomedov,17,4,1,2.78,53.0,2.61,65%,1.25,22%,88%,0.0
Sean Santella,17,6,1,0.0,0.0,0.0,0%,0.0,0%,0%,0.0
Matt Veach,17,5,0,1.12,28.0,4.91,44%,3.64,38%,100%,1.5
Danny Castillo,17,10,0,2.57,42.0,1.96,62%,2.95,38%,63%,0.2
Luke Caudillo,17,17,0,1.97,28.0,5.07,55%,0.44,20%,85%,0.0
Ednaldo Oliveira,17,3,1,1.03,22.0,1.8,52%,0.0,0%,42%,0.0
Tom Watson,17,9,0,4.01,44.0,4.41,50%,0.15,7%,43%,0.0
Joselyne Edwards,17,6,0,4.61,53.0,3.24,50%,1.43,40%,61%,0.6
Marc Diakiese,17,7,0,2.54,40.0,2.64,52%,3.29,43%,66%,0.0
Joao Elias,17,4,1,0.4,50.0,6.47,20%,0.0,0%,50%,0.0
Jimmy Ambriz,17,21,1,0.83,29.0,3.76,40%,3.13,57%,100%,0.8
Brendan Loughnane,17,3,0,6.23,63.0,6.7,53%,1.5,30%,92%,0.0
Lerone Murphy,17,0,1,4.48,53.0,2.51,61%,1.41,54%,51%,0.5
Daiki Hata,17,11,7,1.44,39.0,1.42,55%,0.67,100%,35%,0.7
John Hathaway,17,2,0,3.4,40.0,1.8,62%,2.61,43%,60%,0.9
Michihiro Omigawa,17,14,1,2.01,39.0,3.06,64%,1.19,36%,49%,1.5
Cezary Oleksiejczuk,17,3,0,1.99,86.0,0.77,47%,5.77,85%,100%,0.0
Rafaello Oliveira,17,8,0,2.19,33.0,3.38,59%,2.49,36%,11%,1.6
Vadym Kutsyi,17,2,0,5.53,48.0,4.94,55%,3.53,40%,0%,0.0
Keisuke Fujiwara,17,12,5,0.73,44.0,1.2,47%,0.0,0%,23%,2.5
Karlos Vemola,17,5,0,1.67,44.0,2.13,37%,1.93,25%,31%,1.7
Kuya Ito,17,9,1,3.4,39.0,3.13,55%,0.0,0%,62%,1.0
James Irvin,17,10,0,2.03,48.0,3.86,35%,0.0,0%,36%,0.5
Abdul-Kerim Edilov,17,4,0,10.22,61.0,0.13,92%,3.98,100%,0%,2.0
Brett Rogers,17,10,0,3.17,44.0,3.2,46%,0.0,0%,58%,0.0
Erik Perez,17,6,0,3.16,40.0,2.09,66%,3.16,55%,69%,0.2
Cathal Pendred,17,4,1,2.49,44.0,3.01,55%,2.46,23%,83%,0.4
Ben Reiter,17,2,1,1.8,46.0,1.53,54%,7.0,43%,0%,0.0
Mitch Whitesel,17,27,0,0.0,0.0,0.0,0%,0.0,0%,0%,0.0
Da'Mon Blackshear,17,8,1,4.33,45.0,4.19,52%,1.48,33%,71%,1.5
Dan Bobish,17,9,0,2.06,44.0,1.74,34%,2.44,42%,0%,1.6
Yana Santos,17,8,0,4.41,57.0,3.12,52%,0.78,47%,51%,0.1
Zak Ottow,17,7,0,2.63,36.0,2.73,58%,0.97,29%,57%,0.4
Josh Pulsifer,17,8,0,0.0,0.0,0.0,0%,0.0,0%,0%,0.0
Adam Lynn,17,10,0,1.47,63.0,6.95,10%,0.0,0%,50%,0.0
Deividas Taurosevicius,17,5,0,2.13,43.0,1.82,59%,2.0,28%,50%,0.3
Alonzo Menifield,17,6,1,3.77,53.0,3.81,50%,0.5,31%,78%,0.2
Ilia Topuria,17,0,0,4.81,48.0,3.83,64%,1.96,61%,93%,1.1
Manuel Torres,17,3,0,7.29,59.0,4.08,54%,1.72,66%,90%,0.9
Anthony Rocco Martin,17,6,0,2.68,37.0,2.59,58%,0.71,27%,68%,1.0
Juan Adrian Martinetti,17,1,0,11.0,65.0,7.8,48%,3.0,42%,100%,0.0
Rory Markham,17,6,0,1.98,21.0,10.27,45%,0.0,0%,0%,0.0
Adrian Yanez,17,6,0,6.23,41.0,5.75,54%,0.0,0%,81%,0.0
Jack Shore,17,3,0,3.6,58.0,2.31,56%,3.22,39%,74%,0.6
Dennis Bermudez,17,9,0,4.42,46.0,3.07,59%,3.89,40%,82%,1.1
Edson Berto,17,12,1,1.76,36.0,4.62,47%,5.47,40%,0%,2.7
Westin Wilson,17,10,0,1.57,31.0,6.71,30%,1.57,16%,33%,7.9
Brandon Royval,17,9,0,5.54,41.0,4.25,43%,0.65,75%,45%,1.1
Patricky Freire,17,8,0,3.06,44.0,3.34,69%,1.26,33%,100%,0.0
Kevin Vallejos,17,1,0,5.78,46.0,4.71,56%,0.71,28%,83%,0.0
Brendson Ribeiro,17,9,0,3.06,42.0,4.0,53%,0.9,42%,18%,0.6
Shi Ming,17,6,0,3.12,36.0,2.92,53%,0.81,30%,57%,0.0
Eryk Anders,17,9,0,3.51,48.0,4.09,50%,1.75,24%,80%,0.1
Johil de Oliveira,17,15,1,0.51,34.0,0.73,58%,1.1,50%,44%,0.6
Carl Deaton,17,7,0,1.53,31.0,1.85,61%,0.0,0%,50%,0.0
Cole Escovedo,17,9,0,1.77,43.0,4.32,49%,0.43,33%,13%,0.0
Phil Davis,17,4,0,2.85,34.0,1.33,72%,2.99,38%,72%,0.6
Marc-Andre Barriault,17,11,0,5.65,47.0,5.94,49%,0.34,28%,68%,0.1
Chris Padilla,17,6,0,4.78,54.0,3.87,55%,1.18,30%,75%,0.4
Joey Beltran,17,14,0,4.92,36.0,5.27,54%,0.48,18%,75%,0.0
Josh Koscheck,17,11,0,1.79,36.0,2.27,63%,2.46,48%,64%,0.4
Waldo Cortes Acosta,17,2,0,5.54,49.0,3.38,56%,0.44,57%,72%,0.1
Hector Urbina,17,10,1,0.97,38.0,2.44,39%,0.0,0%,38%,3.8
Ian Machado Garry,17,1,0,4.78,54.0,2.86,52%,0.92,31%,80%,0.4
George Sullivan,17,7,0,3.53,39.0,2.42,57%,1.37,20%,38%,0.7
Joanne Wood,17,8,0,7.1,51.0,4.89,51%,1.52,55%,58%,0.3
Mario Bautista,17,3,0,5.3,48.0,3.98,54%,1.91,38%,55%,0.8
Alejandro Flores,17,3,0,3.66,40.0,2.02,54%,0.0,0%,0%,0.0
Jafel Filho,17,4,0,1.85,41.0,1.62,50%,2.52,45%,66%,2.2
Tyrell Fortune,17,3,0,0.0,0.0,0.0,0%,0.0,0%,0%,0.0
Gabriel Miranda,17,8,0,3.23,43.0,6.01,37%,4.75,38%,0%,1.9
Paul Craig,17,10,1,2.5,45.0,3.04,43%,1.43,18%,35%,1.3
Nassourdine Imavov,17,4,0,4.28,54.0,3.17,58%,0.74,32%,81%,1.0
Jimi Manuwa,17,6,0,3.43,54.0,3.97,49%,0.53,18%,70%,0.4
Andre Ewell,17,9,0,4.28,40.0,4.87,51%,0.36,75%,72%,0.1
Antonio Monteiro,17,5,1,3.93,49.0,8.33,33%,1.0,33%,66%,1.0
JC Cottrell,17,5,0,0.79,25.0,2.75,45%,0.79,100%,50%,0.0
Jimmy Flick,17,9,0,1.67,50.0,4.7,43%,2.36,33%,0%,3.5
Branden Lee Hinkle,17,11,0,2.61,69.0,3.91,26%,4.34,57%,66%,4.3
Enrique Barzola,17,5,2,3.91,41.0,2.97,68%,4.2,45%,66%,0.3
Jean Silva,17,3,0,4.82,51.0,4.5,53%,1.2,60%,78%,0.6
Marcio Barbosa,17,2,0,8.27,47.0,7.56,50%,0.0,0%,100%,0.0
Daniel Barez,17,7,0,3.65,49.0,5.95,50%,1.93,28%,80%,0.6
Gasan Umalatov,17,4,2,2.23,39.0,4.1,59%,0.75,17%,90%,0.0
Colby Covington,17,5,0,3.81,38.0,3.09,54%,3.64,42%,68%,0.2
Paul Felder,17,6,0,3.7,44.0,3.44,48%,0.29,28%,64%,0.2
Muhsin Corbbrey,17,9,0,2.02,34.0,5.41,53%,0.0,0%,80%,0.4
Tomoya Miyashita,17,9,7,1.67,65.0,0.93,33%,4.0,80%,0%,2.0
Austin Hubbard,17,10,0,3.97,42.0,4.1,55%,1.63,28%,68%,0.1
Ariane da Silva,17,11,0,4.05,41.0,4.4,50%,0.47,38%,68%,0.3
Kyle Daukaus,17,4,0,3.32,53.0,2.9,42%,2.08,25%,82%,2.1
Oleg Taktarov,17,5,2,0.0,0.0,0.0,0%,0.0,0%,0%,0.0
Ronny Markes,17,5,0,2.17,53.0,2.43,45%,3.13,40%,100%,0.5
Curtis Millender,17,5,0,3.86,46.0,2.95,61%,0.43,100%,57%,0.0
Marcin Prachnio,17,9,0,5.52,54.0,3.15,54%,0.14,20%,53%,0.0
David Baron,17,4,1,1.17,30.0,2.1,56%,0.0,0%,14%,0.7
Tagir Ulanbekov,17,3,0,3.01,48.0,3.44,50%,2.73,39%,63%,1.5
Ignacio Bahamondes,17,6,0,6.55,45.0,4.33,56%,0.0,0%,75%,0.4
Bazigit Atajev,17,1,0,0.87,41.0,3.14,49%,1.0,33%,0%,0.0
Luciano Azevedo,17,9,1,0.76,45.0,1.97,27%,2.28,11%,0%,0.0
Pannie Kianzad,17,9,0,4.88,49.0,4.09,51%,0.41,33%,65%,0.1
David Zawada,17,7,0,3.84,41.0,4.54,55%,0.97,33%,57%,1.7
Alatengheili,17,10,2,2.82,32.0,5.12,57%,1.74,43%,75%,0.0
Amir Albazi,17,3,0,2.47,33.0,3.88,59%,1.18,25%,62%,0.4
Fabio Aguiar,17,1,0,0.0,0.0,0.0,0%,0.0,0%,0%,0.0
Kevin Aguilar,17,5,0,3.96,40.0,4.81,52%,0.16,16%,78%,0.0
Brett Johns,17,2,0,2.86,49.0,3.84,53%,4.92,49%,58%,1.0
Ricardo Ramos,17,8,0,2.91,36.0,3.97,54%,2.51,57%,67%,1.0
Sean McCorkle,17,7,0,0.85,44.0,2.48,52%,2.12,40%,33%,4.2
Oli Thompson,17,10,0,1.66,46.0,5.31,46%,0.0,0%,50%,0.5
Stephen Thompson,17,9,1,4.05,46.0,3.0,54%,0.23,35%,63%,0.0
Simeon Thoresen,17,6,1,3.85,43.0,3.85,64%,1.12,40%,50%,1.7
Ikram Aliskerov,17,2,0,6.86,64.0,5.47,41%,3.2,60%,100%,0.5
Mason Jones,17,2,0,5.71,41.0,4.47,50%,4.17,55%,81%,0.2
Alan Jouban,17,7,0,5.67,50.0,3.77,60%,0.51,44%,58%,0.3
Charles Jourdain,17,8,1,5.48,49.0,4.25,56%,0.33,21%,47%,0.7
Ricky Calatayud,16,2,0,0.0,0.0,0.0,0%,0.0,0%,0%,0.0
Jean Francois Lenogue,16,17,3,1.13,34.0,0.27,60%,0.0,0%,33%,0.0
Martin Buday,16,2,0,4.39,53.0,4.49,55%,0.15,20%,93%,0.1
Anthony Njokuani,16,12,0,3.94,46.0,2.41,65%,0.5,45%,53%,0.2
Ti Haitao,16,6,0,0.0,0.0,0.0,0%,0.0,0%,0%,0.0
Zhang Qinghe,16,8,1,2.87,33.0,4.73,49%,0.0,0%,50%,0.0
Mickael Lebout,16,7,1,2.6,34.0,2.98,54%,0.0,0%,60%,0.0
Emiliano Sordi,16,7,0,4.79,50.0,4.79,48%,0.0,0%,100%,8.3
Albert Duraev,16,5,0,2.99,40.0,3.01,59%,1.97,29%,66%,0.6
Luke Rockhold,16,6,0,4.1,49.0,2.68,53%,0.7,29%,65%,1.0
Cody McKenzie,16,10,0,1.74,34.0,2.5,67%,2.5,25%,14%,2.5
Edmen Shahbazyan,16,5,0,3.8,48.0,3.6,49%,1.62,37%,66%,0.4
Chase Sherman,16,12,0,6.04,45.0,6.65,52%,0.09,50%,74%,0.0
SuYoung You,16,3,0,2.28,46.0,1.96,70%,3.8,47%,66%,0.4
Nate Maness,16,3,0,3.14,50.0,3.88,42%,0.68,75%,80%,0.7
Shamar Bailey,16,11,0,1.56,20.0,3.91,69%,1.5,33%,37%,0.0
Khama Worthy,16,9,0,4.18,48.0,4.45,46%,0.0,0%,57%,0.7
Junior Assuncao,16,6,0,3.31,62.0,2.06,44%,2.43,24%,66%,0.7
Austin Arnett,16,6,0,4.52,41.0,6.38,62%,0.44,18%,57%,0.2
Jessin Ayari,16,6,0,3.53,37.0,3.59,58%,0.0,0%,50%,0.3
Akira Kikuchi,16,4,0,3.67,56.0,0.4,14%,2.0,40%,100%,0.0
Dante Rivera,16,7,0,2.27,53.0,4.0,25%,0.0,0%,16%,0.0
Oron Kahlon,16,1,0,0.85,37.0,4.93,36%,0.0,0%,40%,0.0
Drew Brokenshire,16,6,0,0.0,0.0,0.0,0%,0.0,0%,0%,0.0
Jonathan Brookins,16,10,0,2.69,39.0,3.63,56%,1.94,17%,80%,0.3
Rob Broughton,16,7,1,2.83,60.0,2.54,51%,0.0,0%,26%,3.2
TJ Waldburger,16,9,0,2.02,51.0,2.39,40%,3.03,46%,40%,4.8
Geoff Neal,16,8,0,5.02,50.0,5.5,57%,0.54,45%,87%,0.1
Jason Godsey,16,16,0,0.0,0.0,0.0,0%,0.0,0%,0%,0.0
Tyson Griffin,16,8,0,3.71,41.0,2.3,65%,1.87,46%,59%,0.9
Mizuki,16,6,0,4.45,52.0,4.65,49%,0.75,33%,80%,0.0
Chase Hooper,16,4,1,4.51,49.0,2.98,39%,2.49,33%,55%,2.1
Assuerio Silva,16,8,0,1.42,46.0,4.2,54%,2.66,34%,25%,1.8
Wagnney Fabiano,16,4,0,1.19,38.0,0.66,70%,3.44,64%,100%,0.4
Phillip Miller,16,0,0,1.61,54.0,1.93,50%,3.62,25%,100%,0.6
Eduardo Pamplona,16,4,0,0.0,0.0,0.0,0%,0.0,0%,0%,0.0
Che Mills,16,10,0,2.08,52.0,2.87,43%,1.18,66%,58%,0.0
Dominic Brown,16,23,0,0.0,0.0,0.0,0%,0.0,0%,0%,0.0
Todd Brown,16,4,0,2.15,45.0,3.85,48%,0.0,0%,50%,0.0
Shane Nelson,16,7,0,1.38,31.0,2.84,61%,1.31,18%,54%,1.6
Carlos Newton,16,14,0,0.65,41.0,1.55,44%,2.47,70%,43%,0.9
Ben Nguyen,16,8,0,3.51,40.0,3.01,59%,0.25,33%,63%,1.0
Kaik Brito,16,5,0,2.8,38.0,3.87,55%,0.0,0%,55%,2.0
Ron Waterman,16,6,2,0.84,50.0,1.37,42%,4.19,69%,50%,2.8
Augusto Sakai,16,5,1,4.6,49.0,3.83,48%,0.23,40%,56%,0.0
Niko Price,16,10,0,5.13,43.0,5.61,48%,0.98,28%,50%,0.6
Fernando Padilla,16,6,0,6.07,40.0,5.74,52%,0.0,0%,100%,0.6
Yuji Hisamatsu,16,22,6,0.0,0.0,0.0,0%,0.0,0%,0%,0.0
Andre Fialho,16,8,0,3.3,41.0,6.26,45%,0.25,100%,66%,0.0
Justin Jaynes,16,8,0,3.34,44.0,5.33,62%,0.75,40%,20%,1.1
Joanna Jedrzejczyk,16,5,0,6.28,48.0,3.25,62%,0.27,62%,80%,0.1
Joe Duffy,16,5,0,2.68,34.0,3.78,54%,0.96,66%,64%,0.7
Elias Theodorou,16,3,0,4.19,42.0,2.39,53%,1.27,28%,59%,0.0
Ray Rodriguez,16,8,0,0.9,27.0,3.89,40%,1.42,50%,44%,0.0
John Halverson,16,8,0,2.94,43.0,5.29,47%,0.0,0%,66%,2.0
Trevin Giles,16,7,0,3.17,54.0,2.39,58%,1.07,50%,72%,0.3
Chad George,16,8,0,1.26,50.0,1.11,65%,3.08,46%,0%,1.3
Elves Brener,16,6,0,4.76,47.0,5.86,50%,0.99,16%,76%,0.0
Henry Briones,16,8,1,3.47,42.0,4.68,53%,0.0,0%,52%,0.6
Jerrod Sanders,16,3,0,0.88,64.0,1.14,46%,2.2,33%,50%,1.6
Roger Carroll,16,14,0,7.62,61.0,10.48,43%,0.0,0%,100%,0.0
Yusup Saadulaev,16,4,1,0.57,45.0,0.96,66%,5.73,60%,0%,1.0
Tarec Saffiedine,16,7,0,4.05,47.0,3.06,62%,0.52,36%,84%,0.1
Mark Coleman,16,10,0,1.88,52.0,2.62,40%,3.89,40%,50%,0.8
Tatsuya Mizuno,16,12,1,2.25,37.0,3.52,53%,1.19,25%,40%,3.6
Casey Kenney,16,4,1,4.85,42.0,4.67,58%,1.09,35%,61%,0.4
Takashi Sato,16,7,0,2.21,41.0,3.73,44%,0.76,37%,60%,0.0
Chris Saunders,16,8,0,1.48,22.0,2.96,75%,3.7,100%,0%,0.0
Tor Troeng,16,7,1,1.16,46.0,3.26,32%,0.62,7%,66%,0.3
Carmelo Marrero,16,6,0,0.84,34.0,2.04,54%,3.21,36%,36%,0.9
Eddie Yagin,16,7,1,3.13,30.0,5.77,42%,0.0,0%,62%,1.0
Aisling Daly,16,6,0,2.92,52.0,1.4,55%,2.15,41%,33%,0.9
Drakkar Klose,16,3,1,4.25,55.0,3.65,49%,1.49,26%,69%,0.0
Shara Magomedov,16,1,0,5.93,62.0,3.85,43%,0.0,0%,71%,0.0
Todd Moore,16,7,0,1.83,26.0,2.3,57%,0.78,14%,54%,0.0
Rudy Bears,16,15,0,1.27,29.0,2.53,50%,0.0,0%,0%,0.0
Erik Koch,16,6,0,2.33,42.0,2.82,47%,1.02,42%,81%,1.0
Jonathan Figueroa,16,1,0,0.0,0.0,0.0,0%,0.0,0%,0%,0.0
Wayne Cole,16,25,0,0.57,20.0,8.33,27%,4.31,25%,0%,4.3
Chris Weidman,16,8,0,3.11,45.0,3.37,51%,3.27,42%,72%,0.8
Jose Delano,16,3,0,9.73,65.0,2.53,72%,0.0,0%,60%,0.0
James Te Huna,16,9,0,4.04,51.0,2.99,62%,2.75,37%,58%,0.2
Jesus Pinedo,16,5,1,3.23,38.0,4.37,52%,2.5,100%,100%,0.0
Tony Bonello,16,3,1,0.62,33.0,12.62,10%,0.0,0%,0%,0.0
Henry Cejudo,16,6,0,3.83,47.0,3.84,57%,1.78,29%,72%,0.1
Waylon Lowe,16,7,0,1.88,55.0,2.4,53%,4.47,55%,83%,0.3
Dustin Stoltzfus,16,8,0,3.3,45.0,3.23,47%,2.08,37%,46%,1.1
Azamat Murzakanov,16,0,0,4.7,57.0,2.86,60%,0.55,15%,87%,0.0
Jesse Bongfeldt,16,5,1,2.91,62.0,1.01,50%,1.51,33%,33%,0.0
Rogerio Bontorin,16,4,0,2.63,52.0,3.27,50%,2.9,60%,51%,1.0
Karolina Kowalkiewicz,16,10,0,5.54,42.0,5.77,56%,0.36,23%,74%,0.2
Isaac Vallie-Flagg,16,7,1,5.56,47.0,5.6,45%,0.2,12%,58%,0.0
Joshua Van,16,2,0,8.84,56.0,6.39,57%,0.84,63%,81%,0.0
Matt Wiman,16,10,0,3.17,50.0,3.57,51%,2.13,37%,56%,1.5
Brad Katona,16,5,0,4.81,52.0,4.75,50%,1.86,34%,61%,0.0
Julie Kedzie,16,13,0,2.9,36.0,3.18,46%,1.14,23%,78%,0.0
Losene Keita,16,1,0,0.0,0.0,0.0,0%,0.0,0%,0%,0.0
Raquel Pennington,16,10,0,4.1,49.0,3.32,61%,0.83,27%,62%,0.6
Terry Etim,16,5,0,2.16,35.0,2.53,67%,0.43,30%,39%,1.4
Dong Hyun Ma,16,11,3,2.84,41.0,4.1,54%,1.27,53%,33%,0.0
